	protein	gene
BSU02650	Pyrrolidone-carboxylate peptidase (EC 3.4.19.3) (5-oxoprolyl-peptidase) (Pyroglutamyl-peptidase I) (PGP-I) (Pyrase)	pcp BSU02650
BSU02660	Uncharacterized aminotransferase YcbU (EC 2.6.1.-)	ycbU BSU02660
BSU02670	Lincomycin resistance protein LmrB	lmrB yccA BSU02670
BSU02680	HTH-type transcriptional regulator LmrA	lmrA yccB BSU02680
BSU02690	L-asparaginase 2 (L-ASNase 2) (EC 3.5.1.1) (L-asparagine amidohydrolase 2)	ansZ yccC BSU02690
BSU02700	Lipase EstA (Lipase A) (EC 3.1.1.3) (Triacylglycerol lipase)	estA lip lipA BSU02700
BSU02710	Uncharacterized protein YczC	yczC BSU02710
BSU02720	Uncharacterized protein YccF	yccF BSU02720
BSU02730	Sensor histidine kinase NatK (EC 2.7.13.3)	natK yccG BSU02730
BSU02740	Transcriptional regulatory protein NatR	natR yccH BSU02740
BSU02750	ABC transporter ATP-binding protein NatA (ABC-type Na(+) transporter) (EC 7.2.2.4)	natA BSU02750
BSU02760	ABC transporter permease protein NatB (ABC-type Na(+) transporter) (EC 7.2.2.4)	natB BSU02760
BSU02770	Uncharacterized oxidoreductase YccK (EC 1.-.-.-)	yccK yzaE BSU02770
BSU02780	Uncharacterized lipoprotein YcdA	ycdA BSU02780
BSU02785	NA	NA
BSU02790	Uncharacterized protein YcdB	ycdB BSU02790
BSU02800	Uncharacterized protein YcdC	ycdC BSU02800
BSU02810	Peptidoglycan L-alanyl-D-glutamate endopeptidase CwlK (EC 3.4.-.-)	cwlK ycdD BSU02810
BSU02820	Response regulator aspartate phosphatase J (EC 3.1.-.-)	rapJ ycdE BSU02820
BSU02830	Glucose 1-dehydrogenase 2 (EC 1.1.1.47) (GLCDH-II) (GDH-II) (General stress protein 74) (GSP74)	ycdF BSU02830
BSU02840	Probable oligo-1,6-glucosidase 2 (EC 3.2.1.10) (Oligosaccharide alpha-1,6-glucosidase 2) (Sucrase-isomaltase 2) (Isomaltase 2)	ycdG BSU02840
BSU02850	High-affinity zinc uptake system binding-protein ZnuA	znuA adcA ycdH BSU02850
BSU02860	High-affinity zinc uptake system ATP-binding protein ZnuC (EC 7.2.2.20)	znuC adcC ycdI BSU02860
BSU02870	High-affinity zinc uptake system membrane protein ZnuB	znuB adcB yceA BSU02870
BSU02880	Uncharacterized protein YceB	yceB BSU02880
BSU02890	Stress response protein SCP2	yceC BSU02890
BSU02900	General stress protein 16U (GSP16U)	yceD BSU02900
BSU02910	Uncharacterized protein YceE	yceE BSU02910
BSU02920	Uncharacterized membrane protein YceF	yceF BSU02920
BSU02930	Uncharacterized protein YceG	yceG BSU02930
BSU02940	Uncharacterized protein YceH	yceH BSU02940
BSU02950	Putative niacin/nicotinamide transporter NaiP	naiP yceI BSU02950
BSU02960	Uncharacterized MFS-type transporter YceJ	yceJ BSU02960
BSU02970	Uncharacterized HTH-type transcriptional regulator YceK	yceK BSU02970
BSU02980	Glycine betaine transport ATP-binding protein OpuAA (EC 7.6.2.9) (Quaternary-amine-transporting ATPase)	opuAA BSU02980
BSU02990	Glycine betaine transport system permease protein OpuAB	opuAB BSU02990
BSU03000	Glycine betaine-binding protein OpuAC	opuAC BSU03000
BSU03010	Amidohydrolase AmhX (EC 3.5.1.-) (Aminoacylase)	amhX BSU03010
BSU03020	Uncharacterized protein YcgA	ycgA BSU03020
BSU03030	Uncharacterized protein YcgB	ycgB BSU03030
BSU03040	Alpha-amylase (EC 3.2.1.1) (1,4-alpha-D-glucan glucanohydrolase)	amyE amyA BSU03040
BSU03050	L-lactate dehydrogenase (L-LDH) (EC 1.1.1.27)	ldh lctE BSU03050
BSU03060	L-lactate permease	lctP ycgC BSU03060
BSU03070	Multidrug resistance protein 3 (Multidrug-efflux transporter 3)	bmr3 mdr BSU03070
BSU03080	Uncharacterized HTH-type transcriptional regulator YcgE	ycgE BSU03080
BSU03090	Putative amino acid efflux protein YcgF	ycgF BSU03090
BSU03100	Uncharacterized protein YcgG	ycgG BSU03100
BSU03110	Uncharacterized transporter YcgH	ycgH BSU03110
BSU03120	Uncharacterized protein YcgI	ycgI BSU03120
BSU03130	NH(3)-dependent NAD(+) synthetase (EC 6.3.1.5) (General stress protein 38) (GSP38) (Spore outgrowth factor B) (Sporulation protein OutB)	nadE outB BSU03130
BSU03140	Tunicamycin resistance protein	tmrB BSU03140
BSU03150	Shikimate kinase (SK) (EC 2.7.1.71)	aroK aroI BSU03150
BSU03160	Uncharacterized methyltransferase YcgJ (EC 2.1.1.-)	ycgJ BSU03160
BSU03170	Uncharacterized HTH-type transcriptional regulator YcgK	ycgK BSU03170
BSU03180	Cephalosporin-C deacetylase (EC 3.1.1.41) (Acetylxylan esterase) (EC 3.1.1.72)	cah BSU03180
BSU03190	Uncharacterized protein YcgL	ycgL BSU03190
BSU03200	Proline dehydrogenase 2 (PRODH 2) (EC 1.5.5.2) (Proline oxidase 2)	putB ycgM BSU03200
BSU03210	1-pyrroline-5-carboxylate dehydrogenase 2 (P5C dehydrogenase 2) (EC 1.2.1.88) (L-glutamate gamma-semialdehyde dehydrogenase)	putC ycgN BSU03210
BSU03220	High-affinity proline transporter PutP	putP ycgO BSU03220
BSU03230	Proline-responsive transcriptional activator PutR (Proline catabolism regulator)	putR prcR ycgP BSU03230
BSU03240	UPF0703 protein YcgQ	ycgQ BSU03240
BSU03250	UPF0718 protein YcgR	ycgR BSU03250
BSU03260	Uncharacterized hydrolase YcgS (EC 3.-.-.-)	ycgS BSU03260
BSU03270	Ferredoxin--NADP reductase 1 (FNR 1) (Fd-NADP(+) reductase 1) (EC 1.18.1.2)	ycgT BSU03270
BSU03280	Uroporphyrinogen-III C-methyltransferase (Urogen III methylase) (EC 2.1.1.107) (SUMT) (Uroporphyrinogen III methylase) (UROM)	nasF nasBE BSU03280
BSU03290	Assimilatory nitrite reductase [NAD(P)H] small subunit (EC 1.7.1.4)	nasE nasBD nirD BSU03290
BSU03300	Nitrite reductase [NAD(P)H] (EC 1.7.1.4)	nasD nasBC nirB BSU03300
BSU03310	Assimilatory nitrate reductase catalytic subunit (EC 1.7.-.-)	nasC narB nasBB BSU03310
BSU03320	Assimilatory nitrate reductase electron transfer subunit	nasB nasBA BSU03320
BSU03330	Nitrate transporter	nasA BSU03330
BSU03340	GTP cyclohydrolase FolE2 (EC 3.5.4.16) (GTP cyclohydrolase 1B)	folE2 yciA BSU03340
BSU03350	Putative L,D-transpeptidase YciB (EC 2.-.-.-)	yciB BSU03350
BSU03359	Uncharacterized protein YczL	yczL BSU03359
BSU03360	Zinc chaperone YciC (EC 3.6.5.-)	yciC BSU03360
BSU03370	Probable amino-acid ABC transporter permease protein YckA	yckA BSU03370
BSU03380	Probable ABC transporter extracellular-binding protein YckB (ORF2)	yckB BSU03380
BSU03385	NA	NA
BSU03390	Uncharacterized protein YckC (ORF3)	yckC BSU03390
BSU03400	Uncharacterized protein YckD (ORF4)	yckD BSU03400
BSU03410	Aryl-phospho-beta-D-glucosidase BglC (EC 3.2.1.86) (6-phospho-beta-glucosidase)	bglC yckE BSU03410
BSU03420	DNA-entry nuclease inhibitor (Competence protein J)	nin comJ BSU03420
BSU03430	DNA-entry nuclease (EC 3.-.-.-) (Competence-specific nuclease)	nucA comI BSU03430
BSU03440	Methyl-accepting chemotaxis protein TlpC	tlpC BSU03440
BSU03450	3-hexulose-6-phosphate isomerase (EC 5.3.1.27) (6-phospho-3-hexuloisomerase) (PHI)	hxlB yckF BSU03450
BSU03460	3-hexulose-6-phosphate synthase (HPS) (EC 4.1.2.43) (D-arabino-3-hexulose-6-phosphate formaldehyde lyase) (HUMPS)	hxlA yckG BSU03460
BSU03470	HTH-type transcriptional activator HxlR	hxlR BSU03470
BSU03480	Surfactin synthase subunit 1	srfAA srfA srfA1 BSU03480
BSU03490	Surfactin synthase subunit 2	srfAB comL srfA2 BSU03490
BSU03500	Competence protein S	comS BSU03500
BSU03510	Surfactin synthase subunit 3	srfAC srfA3 BSU03510
BSU03520	Surfactin synthase thioesterase subunit (EC 3.1.2.-) (Cold shock protein CSI16)	srfAD srfA4 BSU03520
BSU03530	Uncharacterized MFS-type transporter YcxA (ORF5)	ycxA BSU03530
BSU03540	Uncharacterized protein YcxB (ORF6)	ycxB BSU03540
BSU03550	Uncharacterized transporter YcxC	ycxC BSU03550
BSU03560	Uncharacterized HTH-type transcriptional regulator YcxD (ORF8)	ycxD BSU03560
BSU03569	NA	NA
BSU03570	4'-phosphopantetheinyl transferase Sfp (EC 2.7.8.7) (Surfactin synthase-activating enzyme)	sfp lpa-8 BSU03570
BSU03580	Uncharacterized membrane protein YczE	yczE BSU03580
BSU03590	L-cystine import ATP-binding protein TcyC (EC 7.4.2.-)	tcyC yckI BSU03590
BSU03600	L-cystine transport system permease protein TcyB	tcyB yckJ BSU03600
BSU03610	L-cystine-binding protein TcyA	tcyA yckK BSU03610
BSU03620	HTH-type transcriptional regulator BsdA (Bsd operon regulatory protein)	bsdA yclA BSU03620
BSU03630	Probable UbiX-like flavin prenyltransferase (EC 2.5.1.129) (Phenolic acid decarboxylase subunit B) (PAD)	bsdB ubiX yclB BSU03630
BSU03640	Phenolic acid decarboxylase (PAD) (4-hydroxybenzoate decarboxylase) (4-hydroxybenzoate DC) (EC 4.1.1.61) (Phenolic acid decarboxylase subunit C) (Vanillate decarboxylase) (Vanillate DC) (EC 4.1.1.-)	bsdC ubiD yclC BSU03640
BSU03651	Protein BsdD (Phenolic acid decarboxylase subunit D) (PAD)	bsdD BSU03651 BSU03650
BSU03652	Uncharacterized protein YclD	yclD BSU03652 BSU03650
BSU03660	AB hydrolase superfamily protein YclE (EC 3.-.-.-)	yclE BSU03660
BSU03670	Uncharacterized transporter YclF	yclF BSU03670
BSU03680	Uncharacterized protein YclG	yclG BSU03680
BSU03690	Uncharacterized protein YczF	yczF BSU03690
BSU03700	Spore germination protein KA	gerKA BSU03700
BSU03710	Spore germination protein KC	gerKC BSU03710
BSU03720	Spore germination protein KB	gerKB BSU03720
BSU03730	Uncharacterized ABC transporter ATP-binding protein YclH	yclH BSU03730
BSU03740	Uncharacterized ABC transporter permease YclI	yclI BSU03740
BSU03750	Uncharacterized transcriptional regulatory protein YclJ	yclJ BSU03750
BSU03760	Sensor histidine kinase YclK (EC 2.7.13.3)	yclK BSU03760
BSU03770	Response regulator aspartate phosphatase C (EC 3.1.-.-)	rapC yclL BSU03770
BSU03780	Phosphatase RapC inhibitor (Phosphatase regulator C)	phrC hprC BSU03780
BSU03788	Uncharacterized membrane protein YczM	yczM BSU03788
BSU03789	Uncharacterized membrane protein YczN	yczN BSU03789
BSU03790	Aspartokinase 3 (EC 2.7.2.4) (Aspartate kinase 3) (Aspartokinase III)	yclM BSU03790
BSU03800	Petrobactin import system permease protein YclN	yclN BSU03800
BSU03810	Petrobactin import system permease protein YclO	yclO BSU03810
BSU03820	Petrobactin import ATP-binding protein YclP (EC 7.2.2.-)	yclP BSU03820
BSU03830	Petrobactin-binding protein YclQ	yclQ BSU03830
BSU03840	Uncharacterized MFS-type transporter YcnB	ycnB BSU03840
BSU03850	Uncharacterized HTH-type transcriptional regulator YcnC	ycnC BSU03850
BSU03860	FMN reductase [NAD(P)H] (EC 1.5.1.39) (NAD(P)H-dependent FMN reductase) (NAD(P)H-dependent nitro/flavin reductase) (NAD(P)H-dependent nitroreductase) (NAD(P)H-dependent oxidoreductase)	nfrA2 ycnD BSU03860
BSU03870	Putative monooxygenase YcnE (EC 1.-.-.-)	ycnE BSU03870
BSU03880	Uncharacterized HTH-type transcriptional regulator YczG	yczG BSU03880
BSU03890	HTH-type transcriptional regulatory protein GabR	gabR ycnF BSU03890
BSU03900	Probable 4-aminobutyrate aminotransferase (EC 2.6.1.19) ((S)-3-amino-2-methylpropionate transaminase) (EC 2.6.1.22) (GABA aminotransferase) (GABA-AT) (Gamma-amino-N-butyrate transaminase) (GABA transaminase) (Glutamate:succinic semialdehyde transaminase) (L-AIBAT)	gabT ycnG BSU03900
BSU03910	Succinate-semialdehyde dehydrogenase [NADP(+)] (SSDH) (EC 1.2.1.79)	gabD ycnH BSU03910
BSU03920	Glucose uptake protein GlcU	glcU ycxE BSU03920
BSU03930	Glucose 1-dehydrogenase (EC 1.1.1.47)	gdh BSU03930
BSU03940	Uncharacterized protein YcnI	ycnI BSU03940
BSU03950	Copper transport protein YcnJ	ycnJ BSU03950
BSU03960	HTH-type transcriptional repressor YcnK	ycnK BSU03960
BSU03970	Uncharacterized protein YcnL	ycnL BSU03970
BSU03981	PTS system mannitol-specific EIICB component (EIICB-Mtl) (EII-Mtl) [Includes: Mannitol permease IIC component (PTS system mannitol-specific EIIC component); Mannitol-specific phosphotransferase enzyme IIB component (EC 2.7.1.197) (PTS system mannitol-specific EIIB component)]	mtlA BSU03981 BSU03980
BSU03982	Mannitol-specific phosphotransferase enzyme IIA component (EIIA) (EIII) (PTS system mannitol-specific EIIA component)	mtlF BSU03982 BSU03980
BSU03990	Mannitol-1-phosphate 5-dehydrogenase (EC 1.1.1.17)	mtlD mtlB BSU03990
BSU04000	Probable tartrate dehydrogenase/decarboxylase (TDH) (EC 1.1.1.93) (EC 4.1.1.73) (D-malate dehydrogenase [decarboxylating]) (EC 1.1.1.83)	ycsA BSU04000
BSU04010	Signal peptidase I U (SPase I) (EC 3.4.21.89) (Leader peptidase I)	sipU ycsB BSU04010
BSU04020	Uncharacterized protein YczH	yczH BSU04020
BSU04030	Uncharacterized protein YcsD	ycsD BSU04030
BSU04039	Uncharacterized protein YczO	yczO BSU04039
BSU04040	5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YcsE (EC 3.1.3.104)	ycsE BSU04040
BSU04050	5-oxoprolinase subunit A (5-OPase subunit A) (EC 3.5.2.9) (5-oxoprolinase (ATP-hydrolyzing) subunit A)	pxpA ycsF BSU04050
BSU04060	Uncharacterized membrane protein YcsG	ycsG ycsH BSU04060
BSU04070	Putative hydro-lyase YcsI (EC 4.2.1.-)	ycsI BSU04070
BSU04080	5-oxoprolinase subunit B (5-OPase subunit B) (EC 3.5.2.9) (5-oxoprolinase (ATP-hydrolyzing) subunit B) (Antikinase KipI) (Kinase A inhibitor) (Sporulation inhibitor KipI)	pxpB kipI ycsJ BSU04080
BSU04090	5-oxoprolinase subunit C (5-OPase subunit C) (EC 3.5.2.9) (5-oxoprolinase (ATP-hydrolyzing) subunit C) (KipI antagonist) (Protein KipA)	pxpC kipA BSU04090
BSU04100	HTH-type transcriptional regulator KipR (Kip operon repressor protein)	kipR ycsO BSU04100
BSU04110	Spore germination lipase LipC (EC 3.-.-.-)	lipC ycsK BSU04110
BSU04120	Uncharacterized protein YczI	yczI BSU04120
BSU04130	Uncharacterized protein YczJ	yczJ BSU04130
BSU04140	Penicillin-binding protein 3 (PBP 3) (EC 3.4.16.4) (PSPB20) (Penicillin-binding protein C)	pbpC ycsM yzsA BSU04140
BSU04150	Uncharacterized oxidoreductase YcsN (EC 1.-.-.-)	ycsN BSU04150
BSU04160	Transcriptional regulator MtlR (Mannitol operon transcriptional activator) (Mtl operon transcriptional activator) [Includes: Putative phosphotransferase enzyme IIB component (EC 2.7.1.197) (Putative PTS system EIIB component); Putative phosphotransferase enzyme IIA component (Putative PTS system EIIA component)]	mtlR ydaA BSU04160
BSU04170	Putative acyl--CoA ligase YdaB (EC 6.2.1.-)	ydaB BSU04170
BSU04180	Uncharacterized methyltransferase YdaC (EC 2.1.1.-)	ydaC BSU04180
BSU04190	General stress protein 39 (GSP39) (EC 1.-.-.-)	ydaD BSU04190
BSU04200	Probable D-lyxose ketol-isomerase (EC 5.3.1.15) (D-lyxose isomerase)	ydaE BSU04200
BSU04210	Putative ribosomal N-acetyltransferase YdaF (EC 2.3.1.-)	ydaF BSU04210
BSU04220	General stress protein 26 (GSP26)	ydaG yzzA BSU04220
BSU04230	Lipid II flippase Amj	amj ydaH BSU04230
BSU04240	Uncharacterized membrane protein YdzA	ydzA BSU04240
BSU04250	HTH-type transcriptional regulator LrpC	lrpC ydaI BSU04250
BSU04260	DNA topoisomerase 3 (EC 5.6.2.1) (DNA topoisomerase III)	topB BSU04260
BSU04270	Putative lipoprotein YdaJ	ydaJ BSU04270
BSU04280	Uncharacterized membrane protein YdaK	ydaK BSU04280
BSU04290	Uncharacterized protein YdaL	ydaL BSU04290
BSU04300	Uncharacterized glycosyltransferase YdaM (EC 2.4.-.-)	ydaM BSU04300
BSU04310	Uncharacterized protein YdaN	ydaN BSU04310
BSU04320	Potassium transporter KimA (K(+) importer A)	kimA ydaO BSU04320
BSU04330	Putative 8-oxo-dGTP diphosphatase (8-oxo-dGTPase) (EC 3.6.1.55) (7,8-dihydro-8-oxoguanine-triphosphatase) (Mutator protein MutT) (dGTP pyrophosphohydrolase)	mutT BSU04330
BSU04340	Putative thiamine pyrophosphate-containing protein YdaP	ydaP BSU04340
BSU04345	NA	NA
BSU04359	Uncharacterized membrane protein YdzK	ydzK BSU04359
BSU04360	Divalent metal cation transporter MntH	mntH ydaR BSU04360
BSU04370	UPF0410 protein YdaS	ydaS BSU04370
BSU04380	Uncharacterized protein YdaT	ydaT BSU04380
BSU04390	Uncharacterized protein YdbA	ydbA BSU04390
BSU04400	Glucose starvation-inducible protein B (General stress protein B)	gsiB BSU04400
BSU04410	Uncharacterized protein YdbB	ydbB BSU04410
BSU04420	Uncharacterized protein YdbC	ydbC BSU04420
BSU04430	Probable manganese catalase (EC 1.11.1.6) (General stress protein 80) (GSP80)	ydbD BSU04430
BSU04440	C4-dicarboxylate-binding protein DctB	dctB ydbE BSU04440
BSU04450	Probable C4-dicarboxylate sensor kinase (EC 2.7.13.3)	dctS ydbF BSU04450
BSU04460	Probable C4-dicarboxylate response regulator DctR	dctR ydbG BSU04460
BSU04470	C4-dicarboxylate transport protein (C4-dicarboxylate permease)	dctA dctP ydbH BSU04470
BSU04480	Putative transport protein YdbI	ydbI BSU04480
BSU04490	Uncharacterized ABC transporter ATP-binding protein YdbJ	ydbJ BSU04490
BSU04500	Uncharacterized membrane protein YdbK	ydbK BSU04500
BSU04510	Uncharacterized protein YdbL	ydbL BSU04510
BSU04520	Putative acyl-CoA dehydrogenase YdbM (EC 1.3.99.-)	ydbM BSU04520
BSU04530	Uncharacterized protein YdbN	ydbN BSU04530
BSU04536	NA	NA
BSU04540	Uncharacterized transporter YdbO	ydbO BSU04540
BSU04550	Thioredoxin-like protein YdbP	ydbP BSU04550
BSU04560	D-alanine--D-alanine ligase (EC 6.3.2.4) (D-Ala-D-Ala ligase) (D-alanylalanine synthetase)	ddl ddlA BSU04560
BSU04570	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase (EC 6.3.2.10) (D-alanyl-D-alanine-adding enzyme) (UDP-MurNAc-pentapeptide synthetase)	murF ydbQ BSU04570
BSU04580	DEAD-box ATP-dependent RNA helicase CshA (EC 3.6.4.13)	cshA ydbR BSU04580
BSU04590	UPF0699 transmembrane protein YdbS	ydbS BSU04590
BSU04600	UPF0699 transmembrane protein YdbT	ydbT BSU04600
BSU04610	Putative rhomboid protease YdcA (EC 3.4.21.-)	ydcA BSU04610
BSU04620	Holo-[acyl-carrier-protein] synthase (Holo-ACP synthase) (EC 2.7.8.7) (4'-phosphopantetheinyl transferase AcpS)	acpS ydcB BSU04620
BSU04630	Sporulation protein YdcC	ydcC BSU04630
BSU04640	Alanine racemase 1 (EC 5.1.1.1)	alr1 alr dal BSU04640
BSU04650	Antitoxin EndoAI (Antitoxin MazE-bs) (MazE-bs) (EndoA inhibitor)	ndoAI mazE BSU04650
BSU04660	Endoribonuclease EndoA (EC 3.1.27.-) (Toxin EndoA) (mRNA interferase EndoA) (mRNA interferase MazF-bs) (MazF-bs)	ndoA mazF ydcE BSU04660
BSU04670	RsbT co-antagonist protein RsbRA (Stressosome protein RsbRA)	rsbRA rsbR ycxR BSU04670
BSU04680	RsbT antagonist protein RsbS (Stressosome protein RsbS)	rsbS ycxS BSU04680
BSU04690	Serine/threonine-protein kinase RsbT (EC 2.7.11.1) (Anti-sigma-B factor RsbT) (Switch protein/serine kinase)	rsbT ycxT BSU04690
BSU04700	Phosphoserine phosphatase RsbU (EC 3.1.3.3) (Sigma factor SigB regulation protein RsbU)	rsbU BSU04700
BSU04710	Anti-sigma-B factor antagonist (Anti-anti-sigma-B factor)	rsbV BSU04710
BSU04720	Serine-protein kinase RsbW (EC 2.7.11.1) (Anti-sigma-B factor) (Sigma-B negative effector RsbW)	rsbW BSU04720
BSU04730	RNA polymerase sigma-B factor (General stress protein 84) (GSP84) (Sigma-37)	sigB rpoF BSU04730
BSU04740	Phosphoserine phosphatase RsbX (EC 3.1.3.3) (Sigma-B negative effector)	rsbX BSU04740
BSU04745	NA	NA
BSU04750	Uncharacterized protein YdcF	ydcF BSU04750
BSU04760	UPF0310 protein YdcG	ydcG BSU04760
BSU04770	Uncharacterized HTH-type transcriptional regulator YdcH	ydcH BSU04770
BSU04780	Uncharacterized protein YdcI	ydcI ydcJ BSU04780
BSU04785	NA	NA
BSU04790	Protein SprT-like	ydcK BSU04790
BSU04800	ICEBs1 integrase	int ydcL BSU04800
BSU04810	Metallopeptidase ImmA (EC 3.4.-.-)	immA ydcM BSU04810
BSU04820	HTH-type transcriptional regulator ImmR	immR ydcN BSU04820
BSU04830	ICEBs1 excisionase (Recombination directionality factor xis)	xis sacV BSU04830
BSU04839	Uncharacterized protein YdzL	ydzL BSU04839
BSU04840	Uncharacterized protein YdcO	ydcO BSU04840
BSU04849	NA	NA
BSU04850	Putative uncharacterized protein YdcP	ydcP BSU04850
BSU04860	Ftsk domain-containing protein YdcQ	ydcQ BSU04860
BSU04870	Putative DNA relaxase NicK	nicK ydcR BSU04870
BSU04880	Uncharacterized protein YdcS	ydcS BSU04880
BSU04890	Uncharacterized protein YdcT	ydcT BSU04890
BSU04900	Uncharacterized protein YddA	yddA BSU04900
BSU04910	Uncharacterized protein YddB	yddB BSU04910
BSU04920	Uncharacterized protein YddC	yddC BSU04920
BSU04930	Uncharacterized protein YddD	yddD BSU04930
BSU04940	Uncharacterized protein YddE	yddE BSU04940
BSU04950	Uncharacterized protein YddF	yddF BSU04950
BSU04960	Uncharacterized membrane protein YddG	yddG BSU04960
BSU04970	Probable endopeptidase YddH (EC 3.4.-.-)	yddH BSU04970
BSU04980	Uncharacterized protein YddI	yddI BSU04980
BSU04990	Uncharacterized protein YddJ	yddJ BSU04990
BSU05000	Uncharacterized protein YddK (EC 3.2.2.6)	yddK BSU05000
BSU05010	Response regulator aspartate phosphatase I (EC 3.1.-.-)	rapI yddL BSU05010
BSU05020	Phosphatase RapI inhibitor (Phosphatase regulator I)	phrI BSU05020
BSU05030	Uncharacterized protein YddM	yddM BSU05030
BSU05040	Uncharacterized protein YddN	yddN BSU05040
BSU05050	HTH-type transcriptional regulator LrpA	lrpA yddO BSU05050
BSU05060	HTH-type transcriptional regulator LrpB	lrpB yddP BSU05060
BSU05070	Uncharacterized isochorismatase family protein YddQ (EC 3.-.-.-)	yddQ BSU05070
BSU05080	UPF0173 protein YddR (EC 3.-.-.-)	yddR BSU05080
BSU05090	Uncharacterized MFS-type transporter YddS	yddS BSU05090
