Entry	Protein names	Gene Names
P39610	Pyridoxine kinase (EC 2.7.1.35) (PN/PL/PM kinase) (Pyridoxal kinase) (Pyridoxamine kinase) (Vitamin B6 kinase)	pdxK ywdB BSU38020 ipa-52r
P39620	Spore coat protein GerQ	gerQ ywdL BSU37920 ipa-62r
P39633	Catabolic NAD-specific glutamate dehydrogenase RocG (NAD-GDH) (EC 1.4.1.2) (Glutamate dehydrogenase) (GlutDH) (Trigger enzyme RocG)	rocG gudA yweB BSU37790 ipa-75d
P39639	H2HPP isomerase (EC 5.3.3.19) (3-((4R)-4-hydroxycyclohexa-1,5-dien-1-yl)-2-oxopropanoate isomerase) (Bacilysin biosynthesis protein BacB) (Bi-cupin protein)	bacB ywfC BSU37730 ipa-81d
P39641	Alanine--anticapsin ligase (EC 6.3.2.49) (ATP-dependent dipeptide ligase) (Bacilysin synthetase) (L-Ala-L-amino acid dipeptide ligase) (L-alanine--L-anticapsin ligase) (L-amino acid ligase) (Lal)	bacD ywfE BSU37710 ipa-83d
P39644	NADPH-dependent reductase BacG (EC 1.3.1.-) (Bacilysin biosynthesis oxidoreductase YwfH) (H2HPP reductase)	bacG ywfH BSU37680 ipa-86r
P39648	Octanoyl-[GcvH]:protein N-octanoyltransferase (EC 2.3.1.204) (Octanoyl-[GcvH]:E2 amidotransferase)	lipL ywfL BSU37640 ipa-90d
P39765	Bifunctional protein PyrR [Includes: Pyrimidine operon regulatory protein; Uracil phosphoribosyltransferase (UPRTase) (EC 2.4.2.9)]	pyrR BSU15470
P39773	2,3-bisphosphoglycerate-independent phosphoglycerate mutase (BPG-independent PGAM) (Phosphoglyceromutase) (iPGM) (EC 5.4.2.12) (Vegetative protein 107) (VEG107)	gpmI pgm BSU33910
P39779	GTP-sensing transcriptional pleiotropic repressor CodY (Vegetative protein 286B) (VEG286B)	codY BSU16170
P39792	Holliday junction resolvase RecU (EC 3.1.21.10)	recU prfA yppB BSU22310
P39793	Penicillin-binding protein 1A/1B (PBP1) [Includes: Penicillin-insensitive transglycosylase (EC 2.4.1.129) (Peptidoglycan TGase); Penicillin-sensitive transpeptidase (EC 3.4.16.4) (DD-transpeptidase)]	ponA BSU22320
P39844	D-alanyl-D-alanine carboxypeptidase DacC (DD-carboxypeptidase) (DD-peptidase) (EC 3.4.16.4) (Penicillin-binding protein 4a) (PBP-4a)	dacC pbp BSU18350
P39848	Beta-N-acetylglucosaminidase (EC 3.2.1.96) (Cell wall-associated polypeptide 90) (CWBP90)	lytD cwlG BSU35780
P39899	Neutral protease B (EC 3.4.24.-)	nprB BSU11100
P39909	Spermine/spermidine N(1)-acetyltransferase (EC 2.3.1.57)	bltD bmr2D bmtD BSU26600
P40332	scyllo-inositol 2-dehydrogenase (NAD(+)) (EC 1.1.1.370)	iolX yisS yucG yuxD BSU10850
P40406	Beta-hexosaminidase (EC 3.2.1.52) (Beta-N-acetylhexosaminidase) (N-acetyl-beta-glucosaminidase) (N-acetylglucosaminidase) (ORF1)	nagZ ybbD yzbA BSU01660
P40750	Penicillin-binding protein 4 (PBP 4) [Includes: Penicillin-insensitive transglycosylase (EC 2.4.1.129) (Peptidoglycan TGase); Penicillin-sensitive transpeptidase (EC 3.4.16.4) (DD-transpeptidase)]	pbpD BSU31490
P40758	Sensor histidine kinase GlnK (EC 2.7.13.3)	glnK nrgB ycbA yzgA BSU02440
P40767	Peptidoglycan DL-endopeptidase CwlO (EC 3.4.-.-) (D-gamma-glutamyl-meso-diaminopimelyl DL-endopeptidase) (PSPA2)	cwlO yvcE yzkA BSU34800
P42182	GTPase Era (Bex protein)	era bex yqfH BSU25290
P42236	Alpha-ketoglutaric semialdehyde dehydrogenase (alphaKGSA dehydrogenase) (EC 1.2.1.26) (2,5-dioxovalerate dehydrogenase)	gucD ycbD BSU02470
P42293	Extracellular endo-alpha-(1->5)-L-arabinanase 2 (ABN) (EC 3.2.1.99) (Endo-1,5-alpha-L-arabinanase)	abn2 J3A yxiA BSU39330
P42305	ATP-dependent RNA helicase DbpA (EC 3.6.4.13)	dbpA deaD yxiN BSU39110 SS8E
P42409	RsbT co-antagonist protein RsbRA (Stressosome protein RsbRA)	rsbRA rsbR ycxR BSU04670
P42412	Malonate-semialdehyde dehydrogenase (MSA dehydrogenase) (EC 1.2.1.-) (Methylmalonate-semialdehyde dehydrogenase) (MMSA dehydrogenase) (MMSDH) (MSDH) (EC 1.2.1.27)	iolA mmsA yxdA BSU39760 E83A
P42971	Penicillin-binding protein 3 (PBP 3) (EC 3.4.16.4) (PSPB20) (Penicillin-binding protein C)	pbpC ycsM yzsA BSU04140
P42982	N-acetyl-alpha-D-glucosaminyl L-malate synthase (GlcNAc-Mal synthase) (EC 2.4.1.-) (L-malic acid glycosyltransferase BshA)	bshA jojH ypjH BSU22460
P45453	ComX pheromone (Competence pheromone)	comX BSU31700
P45868	NAD-dependent malic enzyme 2 (NAD-ME 2) (EC 1.1.1.38) (Malate dehydrogenase MaeA) (Malic enzyme A)	maeA ywkA BSU37050
P45947	Arsenate reductase (EC 1.20.4.4) (Arsenical pump modifier) (Protein ArsC)	arsC yqcM BSU25780
P46349	Gamma-aminobutyric acid permease (GABA permease) (4-aminobutyrate permease) (Gamma-aminobutyrate permease) (Proline transporter GabP)	gabP BSU06310
P46919	Glycerol-3-phosphate dehydrogenase [NAD(P)+] (EC 1.1.1.94) (NAD(P)H-dependent dihydroxyacetone-phosphate reductase) (NAD(P)H-dependent glycerol-3-phosphate dehydrogenase)	gpsA glyC BSU22830
P49852	Flavohemoprotein (Flavohemoglobin) (Hemoglobin-like protein) (Nitric oxide dioxygenase) (NO oxygenase) (NOD) (EC 1.14.12.17)	hmp ane3 ykiA BSU13040
P50849	Polyribonucleotide nucleotidyltransferase (EC 2.7.7.8) (Polynucleotide phosphorylase) (PNPase) (Vegetative protein 15) (VEG15)	pnp comR pnpA BSU16690
P51834	Chromosome partition protein Smc	smc ylqA BSU15940
P53554	Biotin biosynthesis cytochrome P450 (EC 1.14.14.46)	bioI CYP107H BSU30190
P53555	L-Lysine--8-amino-7-oxononanoate transaminase (EC 2.6.1.105) (7,8-diamino-pelargonic acid aminotransferase) (DAPA AT) (DAPA aminotransferase) (7,8-diaminononanoate synthase) (DANS) (Diaminopelargonic acid synthase) (L-Lysine--8-amino-7-oxononanoate aminotransferase)	bioK bioA BSU30230
P54159	Dynamin-like protein A (DynA)	dynA ypbR BSU22030
P54166	Processive diacylglycerol beta-glucosyltransferase (EC 2.4.1.315) (Beta-diglucosyldiacylglycerol synthase) (Beta-DGS) (DGlcDAG synthase) (Glc2-DAG synthase) (Beta-gentiobiosyldiacylglycerol synthase) (Beta-monoglucosyldiacylglycerol synthase) (Beta-MGS) (MGlcDAG synthase) (Beta-triglucosyldiacylglycerol synthase) (TGlcDAG synthase) (Diglucosyl diacylglycerol synthase (1,6-linking)) (Glucosyl-beta-1,6-glucosyldiacylglycerol synthase) (UDP glucosyltransferase) (UDP-glucose:1,2-diacylglycerol-3-beta-D-glucosyltransferase)	ugtP ypfP BSU21920
P54170	Bacilliredoxin BrxA (Brx-A) (Dithiol bacilliredoxin) (UPF0403 protein YphP)	brxA yphP BSU21860
P54375	Superoxide dismutase [Mn] (EC 1.15.1.1) (General stress protein 24) (GSP24)	sodA yqgD BSU25020
P54421	Probable peptidoglycan endopeptidase LytE (EC 3.4.-.-) (Cell wall-associated polypeptide CWBP33) (Gamma-D-glutamate-meso-diaminopimelate muropeptidase LytE) (Minor autolysin LytE) (Phosphatase-associated protein PapQ) (Vegetative cell wall hydrolase LytE)	lytE cwlF papQ BSU09420
P54422	Glutathione hydrolase proenzyme (EC 3.4.19.13) (Gamma-glutamyltranspeptidase proenzyme) (EC 2.3.2.2) [Cleaved into: Glutathione hydrolase large chain; Glutathione hydrolase small chain]	ggt BSU18410
P54423	Cell wall-associated protease (EC 3.4.21.-) [Cleaved into: Cell wall-associated polypeptide CWBP23 (CWBP23); Cell wall-associated polypeptide CWBP52 (CWBP52)]	wprA yisM BSU10770
P54466	Flotillin-like protein FloA	floA yqfA BSU25380
P54475	DEAD-box ATP-dependent RNA helicase CshB (EC 3.6.4.13)	cshB yqfR BSU25140
P54479	Zinc-specific metallo-regulatory protein	zur yqfV BSU25100
P54488	Penicillin-binding protein 2A (PBP-2B) (EC 3.4.16.4)	pbpA yqgF BSU25000
P54493	Rhomboid protease GluP (EC 3.4.21.105) (Intramembrane serine protease)	gluP yqgP BSU24870
P54503	Regulatory protein MgsR (Modulator of the general stress response)	mgsR yqgZ BSU24770
P54507	Major biofilm matrix component (Spore coat-associated protein N) (Translocation-dependent antimicrobial spore component)	tasA cotN yqhF BSU24620
P54511	Octanoyltransferase LipM (EC 2.3.1.181) (Octanoyl-[acyl-carrier-protein]:[GcvH] N-octanoyltransferase)	lipM yqhM BSU24530
P54512	HTH-type transcriptional regulator MntR (Manganese transport regulator) (Manganese(II) metalloregulatory protein MntR)	mntR yqhN BSU24520
P54534	Bacilliredoxin BrxB (Brx-B) (Dithiol bacilliredoxin) (UPF0403 protein YqiW)	brxB yqiW BSU23990
P54550	NADPH dehydrogenase (EC 1.6.99.1) (Xenobiotic reductase)	namA yqjM BSU23820
P54602	Endonuclease YhcR (EC 3.1.31.-)	yhcR BSU09190
P54616	Enoyl-[acyl-carrier-protein] reductase [NADH] FabI (ENR) (EC 1.3.1.9) (Cold shock-induced protein 15) (CSI15) (NADH-dependent enoyl-ACP reductase) (Vegetative protein 241) (VEG241)	fabI yjbW BSU11720
P54716	Maltose-6'-phosphate glucosidase (EC 3.2.1.122) (6-phospho-alpha-D-glucosidase) (6-phosphoryl-O-alpha-D-glucopyranosyl:phosphoglucohydrolase)	glvA glv-1 glvG malA BSU08180
P68577	SPbeta prophage-derived bacteriocin sublancin-168	sunA yolG BSU21480
P70994	2-hydroxymuconate tautomerase (EC 5.3.2.6) ((2Z,4E)-2-hydroxyhexa-2,4-dienedioate keto-enol isomerase) (4-oxalocrotonate tautomerase) (4-OT)	ywhB BSU37540
P70997	Penicillin-binding protein 2D (PBP-2D) (PBP2d) [Includes: Penicillin-insensitive transglycosylase (EC 2.4.1.129) (Peptidoglycan TGase); Penicillin-sensitive transpeptidase (EC 3.4.16.4) (DD-transpeptidase)]	pbpG ywhE BSU37510
P71016	Betaine aldehyde dehydrogenase (BADH) (EC 1.2.1.8) (Glycine betaine aldehyde dehydrogenase)	gbsA BSU31060
P71021	Septum site-determining protein DivIVA (Cell division initiation protein DivIVA) (Minicell-associated protein DivIVA)	divIVA ylmJ BSU15420
P71079	Enoyl-[acyl-carrier-protein] reductase [NADPH] FabL (ENR) (EC 1.3.1.104) (Enoyl-acyl carrier protein reductase III) (NADPH-dependent enoyl-ACP reductase)	fabL yfhR ygaA BSU08650
P71086	Peroxide operon regulator	perR ygaG BSU08730
P80244	ATP-dependent Clp protease proteolytic subunit (EC 3.4.21.92) (Caseinolytic protease) (Endopeptidase Clp) (Stress protein G7)	clpP yvdN BSU34540
P94388	Cephalosporin-C deacetylase (EC 3.1.1.41) (Acetylxylan esterase) (EC 3.1.1.72)	cah BSU03180
P94405	Phenolic acid decarboxylase (PAD) (4-hydroxybenzoate decarboxylase) (4-hydroxybenzoate DC) (EC 4.1.1.61) (Phenolic acid decarboxylase subunit C) (Vanillate decarboxylase) (Vanillate DC) (EC 4.1.1.-)	bsdC ubiD yclC BSU03640
P94424	FMN reductase [NAD(P)H] (EC 1.5.1.39) (NAD(P)H-dependent FMN reductase) (NAD(P)H-dependent nitro/flavin reductase) (NAD(P)H-dependent nitroreductase) (NAD(P)H-dependent oxidoreductase)	nfrA2 ycnD BSU03860
P94522	Extracellular endo-alpha-(1->5)-L-arabinanase 1 (ABN) (EC 3.2.1.99) (Endo-1,5-alpha-L-arabinanase)	abnA BSU28810
P94527	Glycerol-1-phosphate dehydrogenase [NAD(P)+] (G1P dehydrogenase) (G1PDH) (EC 1.1.1.261) (Arabinose operon protein AraM) (Enantiomeric glycerophosphate synthase) (sn-glycerol-1-phosphate dehydrogenase)	egsA araM yseB BSU28760
P94531	Intracellular exo-alpha-(1->5)-L-arabinofuranosidase 1 (ABF) (EC 3.2.1.55) (Intracellular arabinan exo-alpha-(1->5)-L-arabinosidase) (Arabinosidase)	abfA BSU28720
P94544	DNA polymerase/3'-5' exonuclease PolX [Includes: DNA polymerase type-X (EC 2.7.7.7); 3'-5' exodeoxyribonuclease (3'-5' exonuclease) (EC 3.1.11.1)]	polX yshC BSU28590
P94552	Intracellular exo-alpha-L-arabinofuranosidase 2 (ABF) (EC 3.2.1.55) (Intracellular arabinan exo-alpha-L-arabinosidase) (Arabinosidase)	abf2 asd xsa BSU28510
P96614	DEAD-box ATP-dependent RNA helicase CshA (EC 3.6.4.13)	cshA ydbR BSU04580
P96622	Endoribonuclease EndoA (EC 3.1.27.-) (Toxin EndoA) (mRNA interferase EndoA) (mRNA interferase MazF-bs) (MazF-bs)	ndoA mazF ydcE BSU04660
P96716	Tyrosine-protein kinase YwqD (EC 2.7.10.2)	ywqD BSU36250
P97030	Epoxyqueuosine reductase (EC 1.17.99.6) (Queuosine biosynthesis protein QueG)	queG ygaP yhbA BSU08910
Q01466	Cell shape-determining protein MreC (Cell shape protein MreC) (Rod shape-determining protein MreC)	mreC BSU28020
Q02114	N-acetylmuramoyl-L-alanine amidase LytC (EC 3.5.1.28) (Cell wall-associated polypeptide CWBP49) (CWBP49) (Major autolysin) (Vegetative cell wall hydrolase LytC)	lytC cwlB BSU35620
Q02115	Polyisoprenyl-teichoic acid--peptidoglycan teichoic acid transferase TagU (EC 2.7.8.-) (Membrane-bound protein LytR)	tagU lytR BSU35650
Q02169	dTTP/UTP pyrophosphatase (dTTPase/UTPase) (EC 3.6.1.9) (Multicopy associated filamentation protein) (Nucleoside triphosphate pyrophosphatase) (Nucleotide pyrophosphatase) (Nucleotide PPase) (Septum formation protein Maf)	maf BSU28050
Q03224	Fructose-1,6-bisphosphatase class 2 (FBPase class 2) (EC 3.1.3.11) (D-fructose-1,6-bisphosphate 1-phosphohydrolase class 2)	glpX ywjI BSU37090
Q04795	Aspartokinase 1 (EC 2.7.2.4) (Aspartate kinase 1) (Aspartokinase I)	dapG lssD BSU16760
Q05852	UTP--glucose-1-phosphate uridylyltransferase (EC 2.7.7.9) (Alpha-D-glucosyl-1-phosphate uridylyltransferase) (General stress protein 33) (GSP33) (UDP-glucose pyrophosphorylase) (UDPGP) (UGPase) (Uridine diphosphoglucose pyrophosphorylase)	gtaB BSU35670
Q06004	Sorbitol dehydrogenase (SDH) (EC 1.1.1.-) (Glucitol dehydrogenase) (L-iditol 2-dehydrogenase) (EC 1.1.1.14) (Polyol dehydrogenase) (Xylitol dehydrogenase) (EC 1.1.1.9)	gutB BSU06150
Q06320	Sporulation-specific N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28) (Autolysin) (Cell wall hydrolase)	cwlC BSU17410
Q07833	tRNA nuclease WapA (EC 3.1.-.-) (Cell wall-associated polypeptide CWBP200) (CWBP200) (RNase WapA) (Toxin WapA) (Wall-associated protein)	wapA BSU39230 N17G
Q07868	Penicillin-binding protein 2B (PBP-2B) (EC 3.4.16.4) (Penicillin-binding protein B) (Penicillin-sensitive peptidoglycan D,D-transpeptidase)	pbpB BSU15160
Q45071	Arabinoxylan arabinofuranohydrolase (AXH) (EC 3.2.1.55) (AXH-m2,3) (AXH-m23) (Alpha-L-arabinofuranosidase) (AF)	xynD BSU18160
Q45493	Ribonuclease J1 (RNase J1) (EC 3.1.-.-)	rnjA ykqC BSU14530
Q45499	Inositol-1-monophosphatase (I-1-Pase) (IMPase) (Inositol-1-phosphatase) (EC 3.1.3.25) (EC 3.1.3.5)	suhB yktC BSU14670
Q45588	Anti-sigma-W factor RsiW (Regulator of SigW) (Sigma-W anti-sigma factor RsiW)	rsiW ybbM BSU01740
Q45589	Cyclic di-AMP synthase CdaA (c-di-AMP synthase) (EC 2.7.7.85) (Diadenylate cyclase) (DAC)	cdaA ybbP BSU01750
Q45614	Sensor histidine kinase WalK (EC 2.7.13.3)	walK yycG BSU40400
Q45666	HTH-type transcriptional regulator TnrA (Transcriptional nitrogen regulatory protein A) (TnrA)	tnrA scgR BSU13310
Q797B3	Lipoteichoic acid synthase 1 [Cleaved into: Glycerol phosphate lipoteichoic acid synthase 1 (LTA synthase 1) (EC 2.7.8.-) (Polyglycerol phosphate synthase 1); Processed glycerol phosphate lipoteichoic acid synthase 1]	ltaS1 yfnI BSU07260
Q79F14	Extracellular esterase EstB (EC 3.1.1.3) (Extracellular esterase LipB) (Lipase B) (Triacylglycerol lipase)	estB lipB yfiP BSU08350
Q7WY64	Membrane protein insertion and folding monitor (Sensor of SpoIIIJ activity)	mifM yqzJ BSU23880
Q9KWZ1	Quinolinate synthase (EC 2.5.1.72)	nadA BSU27850
A0A6M3ZAM7	Probable dual-specificity RNA methyltransferase RlmN (EC 2.1.1.192) (23S rRNA (adenine(2503)-C(2))-methyltransferase) (23S rRNA m2A2503 methyltransferase) (Ribosomal RNA large subunit methyltransferase N) (tRNA (adenine(37)-C(2))-methyltransferase) (tRNA m2A37 methyltransferase)	rlmN HIR78_08615
A0A6M3ZB82	Aspartate-semialdehyde dehydrogenase (ASA dehydrogenase) (ASADH) (EC 1.2.1.11) (Aspartate-beta-semialdehyde dehydrogenase)	asd HIR78_09120
A0A6M3ZF63	Flavohemoprotein (Flavohemoglobin) (Hemoglobin-like protein) (Nitric oxide dioxygenase) (NO oxygenase) (NOD) (EC 1.14.12.17)	hmpA hmp HIR78_07205
A0A6M3ZFY5	Coenzyme A biosynthesis bifunctional protein CoaBC (DNA/pantothenate metabolism flavoprotein) (Phosphopantothenoylcysteine synthetase/decarboxylase) (PPCS-PPCDC) [Includes: Phosphopantothenoylcysteine decarboxylase (PPC decarboxylase) (PPC-DC) (EC 4.1.1.36) (CoaC); Phosphopantothenate--cysteine ligase (EC 6.3.2.5) (CoaB) (Phosphopantothenoylcysteine synthetase) (PPC synthetase) (PPC-S)]	coaBC HIR78_08590
A0A6M3ZH10	CTP synthase (EC 6.3.4.2) (Cytidine 5'-triphosphate synthase) (Cytidine triphosphate synthetase) (CTP synthetase) (CTPS) (UTP--ammonia ligase)	pyrG HIR78_21310
A0A6M4JBW5	Bifunctional protein GlmU [Includes: UDP-N-acetylglucosamine pyrophosphorylase (EC 2.7.7.23) (N-acetylglucosamine-1-phosphate uridyltransferase); Glucosamine-1-phosphate N-acetyltransferase (EC 2.3.1.157)]	glmU HIR78_00310
A0A6M4JGG3	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase (EC 6.3.2.13) (Meso-A2pm-adding enzyme) (Meso-diaminopimelate-adding enzyme) (UDP-MurNAc-L-Ala-D-Glu:meso-diaminopimelate ligase) (UDP-MurNAc-tripeptide synthetase) (UDP-N-acetylmuramyl-tripeptide synthetase)	murE HIR78_08330
A0A6M4JKZ5	Riboflavin biosynthesis protein RibBA [Includes: 3,4-dihydroxy-2-butanone 4-phosphate synthase (DHBP synthase) (EC 4.1.99.12); GTP cyclohydrolase-2 (EC 3.5.4.25) (GTP cyclohydrolase II)]	ribBA HIR78_13900
C0H3X7	Phosphatidylglycerol lysyltransferase (EC 2.3.2.3) (Lysylphosphatidylglycerol synthase) (LPG synthase)	mprF yfiW yfiX BSU08425 BSU08420 BSU08430
C0SP86	DNA translocase SftA (Septum-associated FtsK-like translocase of DNA)	sftA ytpS ytpT BSU29805 BSU29810
C0SP90	Putative cytochrome bd menaquinol oxidase subunit I (EC 1.10.3.-)	ythA BSU30710
C0SP93	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta (ACCase subunit beta) (Acetyl-CoA carboxylase carboxyltransferase subunit beta) (EC 2.1.3.15)	accD yttI BSU29210
C0SP95	Copper transport protein YcnJ	ycnJ BSU03950
C0SPB6	Single-stranded DNA-binding protein B (SSB B)	ssbB ywpH BSU36310
O05218	Glutathione hydrolase-like YwrD proenzyme (EC 2.3.2.2) (Putative gamma-glutamyltransferase YwrD) (EC 3.4.19.13) [Cleaved into: Glutathione hydrolase-like YwrD large chain; Glutathione hydrolase-like YwrD small chain]	ywrD BSU36100
O05228	Na(+)/H(+) antiporter subunit F (Mrp complex subunit F) (Multiple resistance and pH homeostasis protein F) (Sodium-cholate efflux protein MrpF)	mrpF yufC BSU31650
O05272	Asparagine synthetase [glutamine-hydrolyzing] 3 (EC 6.3.5.4)	asnO yisO yucB BSU10790
O05393	O-acetylserine dependent cystathionine beta-synthase (EC 2.5.1.134)	mccA yrhA BSU27260
O05515	tRNA threonylcarbamoyladenosine biosynthesis protein TsaE (t(6)A37 threonylcarbamoyladenosine biosynthesis protein TsaE)	tsaE ydiB BSU05910
O05518	tRNA N6-adenosine threonylcarbamoyltransferase (EC 2.3.1.234) (N6-L-threonylcarbamoyladenine synthase) (t(6)A synthase) (t(6)A37 threonylcarbamoyladenosine biosynthesis protein TsaD) (tRNA threonylcarbamoyladenosine biosynthesis protein TsaD)	tsaD gcp ydiE BSU05940
O06478	Benzaldehyde dehydrogenase YfmT (EC 1.2.1.28) (Vanillin dehydrogenase) (EC 1.2.1.67)	yfmT BSU07350
O06493	Osmoregulated proline transporter OpuE (Osmoprotectant uptake) (Proline uptake system)	opuE yerK BSU06660
O06737	Adenosine 5'-phosphosulfate reductase 2 (APS reductase 2) (EC 1.8.4.10) (5'-adenylylsulfate reductase 2) (Thioredoxin-dependent 5'-adenylylsulfate reductase 2)	cysH1 yitB BSU10930
O06745	Bifunctional homocysteine S-methyltransferase/5,10-methylenetetrahydrofolate reductase [Includes: Homocysteine S-methyltransferase (EC 2.1.1.10) (S-methylmethionine:homocysteine methyltransferase); 5,10-methylenetetrahydrofolate reductase (EC 1.5.1.20)]	yitJ BSU11010
O06994	Oligo-1,6-glucosidase 1 (EC 3.2.1.10) (Dextrin 6-alpha-D-glucanohydrolase) (Oligosaccharide alpha-1,6-glucosidase 1) (Sucrase-isomaltase 1) (Isomaltase 1)	malL yvdL BSU34560
O07003	Levanbiose-producing levanase (EC 3.2.1.64) (2,6-beta-fructan 6-levanbiohydrolase) (Endo-levanase)	levB yveB BSU34460
O07009	Galactooligosaccharide-binding protein (Cyclodextrin-binding protein)	ganS cycB yvfK BSU34160
O07013	Endo-beta-1,4-galactanase (Galactanase) (EC 3.2.1.-) (Arabinogalactan endo-beta-1,4-galactanase) (EC 3.2.1.89)	ganB galA yvfO BSU34120
O07529	FMN-dependent NADPH-azoreductase (EC 1.7.-.-) (Azobenzene reductase)	azr yhdA BSU09340
O07536	K(+)/H(+) antiporter subunit KhtU	khtU yhaU BSU09850
O07549	Probable multidrug resistance ABC transporter ATP-binding/permease protein YheH (EC 7.6.2.-)	yheH BSU09720
O07550	Probable multidrug resistance ABC transporter ATP-binding/permease protein YheI (EC 7.6.2.-)	yheI BSU09710
O07565	Kanosamine-6-phosphate phosphatase (EC 3.1.3.92)	ntdB yhjK BSU10540
O07608	Lipoate-protein ligase LplJ (EC 6.3.1.20) (Lipoate--protein ligase)	lplJ yhfJ BSU10250
O07631	50S ribosomal subunit assembly factor BipA (EC 3.6.5.-) (GTP-binding protein BipA)	bipA ylaG BSU14770
O07639	Probable peptidoglycan glycosyltransferase FtsW (PGT) (EC 2.4.1.129) (Cell division protein FtsW) (Cell wall polymerase) (Peptidoglycan polymerase) (PG polymerase)	ftsW ylaO BSU14850
O31418	Mini-ribonuclease 3 (Mini-3) (Mini-RNase 3) (EC 3.1.26.-) (Mini-RNase III) (Mini-III)	mrnC yazC BSU00950
O31423	Sporulation killing factor maturation protein SkfB (EC 1.21.98.-)	skfB ybcP ybcQ BSU01920
O31440	Fatty-acid peroxygenase (EC 1.11.2.4) (Cytochrome P450 152A1) (Cytochrome P450BsBeta) (Fatty acid beta-hydroxylase)	cypC CYP152A1 BSU02100
O31466	Tryptophan RNA-binding attenuator protein inhibitory protein (Anti-TRAP protein) (AT)	rtpA yczA BSU02530
O31502	Diacylglycerol kinase (DAG kinase) (DAGK) (EC 2.7.1.107)	dagK dgkB yerQ BSU06720
O31503	23S rRNA (uracil-C(5))-methyltransferase RlmCD (EC 2.1.1.189) (EC 2.1.1.190) (23S rRNA (uracil(1939)-C(5))-methyltransferase) (23S rRNA (uracil(747)-C(5))-methyltransferase)	rlmCD yefA yerS BSU06730
O31506	Toxin YeeF (DNase YeeF)	yeeF BSU06810
O31521	Unsaturated rhamnogalacturonyl hydrolase YesR (URH) (EC 3.2.1.172)	yesR BSU07000
O31529	Beta-galactosidase YesZ (Beta-gal) (EC 3.2.1.23) (Probable rhamnogalacturonan beta-galactosidase)	yesZ BSU07080
