	protein	gene
b0214	Ribonuclease HI (RNase HI) (EC 3.1.26.4) (Ribonuclease H) (RNase H)	rnhA dasF herA rnh sdrA b0214 JW0204
b0215	DNA polymerase III subunit epsilon (EC 2.7.7.7)	dnaQ mutD b0215 JW0205
b0217	Uncharacterized lipoprotein YafT	yafT b0217 JW0206
b4586	Uncharacterized protein YkfM	ykfM b4586
b0218	Putative inner membrane protein YafU	yafU b0218 JW0207
b4503	Putative uncharacterized protein YafF	yafF b4503 JW0208
b0219	Omega-amidase YafV (EC 3.5.1.3)	yafV b0219 JW5019
b0220	Inhibitor of vertebrate lysozyme	ivy ykfE b0220 JW0210
b0221	Acyl-coenzyme A dehydrogenase (ACDH) (Acyl-CoA dehydrogenase) (EC 1.3.8.7) (EC 1.3.8.8)	fadE yafH b0221 JW5020
b0222	Phosphoheptose isomerase (EC 5.3.1.28) (Sedoheptulose 7-phosphate isomerase)	gmhA lpcA tfrA yafI b0222 JW0212
b0223	Putative glutamine amidotransferase YafJ (EC 2.4.2.-)	yafJ b0223 JW0213
b0224	Putative L,D-transpeptidase YafK (EC 2.-.-.-)	yafK b0224 JW0214
b0225	mRNA interferase toxin YafQ (EC 3.1.-.-) (Endoribonuclease YafQ) (Toxin YafQ)	yafQ b0225 JW0215
b0226	Antitoxin DinJ	dinJ b0226 JW0216
b0227	Probable endopeptidase YafL (EC 3.4.-.-) (Uncharacterized lipoprotein YafL)	yafL b0227 JW0217
b0228	REP-associated tyrosine transposase	rayT TnpAREP yafM b0228 JW0218
b0229	Putative truncated flagellar export/assembly protein LfhA	lfhA fhiA b0229 JW5811
b0230	Putative truncated flagellar export/assembly protein LafU	lafU mbhA b0230 JW5812
b0231	DNA polymerase IV (Pol IV) (EC 2.7.7.7) (Translesion synthesis polymerase IV) (TSL polymerase IV)	dinB dinP b0231 JW0221
b0232	Antitoxin YafN	yafN b0232 JW0222
b0233	mRNA interferase toxin YafO (EC 3.1.-.-) (Endoribonuclease YafO) (Toxin YafO)	yafO b0233 JW0223
b0234	Uncharacterized N-acetyltransferase YafP (EC 2.3.1.-)	yafP b0234 JW0224
b0235	Putative uncharacterized protein YkfJ	ykfJ b0235 JW0225
b0236	Putative peptide chain release factor homolog (RF-H)	prfH b0236 JW0226
b0237	Cytosol non-specific dipeptidase (EC 3.4.13.18) (Aminoacyl-histidine dipeptidase) (Beta-alanyl-histidine dipeptidase) (Carnosinase) (Cysteinylglycinase) (Peptidase D) (Xaa-His dipeptidase) (X-His dipeptidase)	pepD pepH b0237 JW0227
b0238	Xanthine-guanine phosphoribosyltransferase (XGPRT) (EC 2.4.2.-) (EC 2.4.2.22) (Xanthine phosphoribosyltransferase)	gpt gpp gxu b0238 JW0228
b0239	Esterase FrsA (EC 3.1.1.1) (Fermentation/respiration switch protein)	frsA yafA b0239 JW0229
b4710	Insertion element IS1 9 protein InsB (IS1i)	insB9 b4710
b4709	Insertion element IS1 9 protein InsA (IS1 repressor TnpA)	insA9 b4709
b0241	Outer membrane porin PhoE (Outer membrane pore protein E)	phoE ompE b0241 JW0231
b0242	Glutamate 5-kinase (EC 2.7.2.11) (Gamma-glutamyl kinase) (GK)	proB b0242 JW0232
b0243	Gamma-glutamyl phosphate reductase (GPR) (EC 1.2.1.41) (Glutamate-5-semialdehyde dehydrogenase) (Glutamyl-gamma-semialdehyde dehydrogenase) (GSA dehydrogenase)	proA b0243 JW0233
b4626	NA	NA
b0245	Toxin YkfI	ykfI b0245 JW0234
b0246	Antitoxin YafW	yafW b0246 JW0235
b4504	Uncharacterized protein YkfH	ykfH b4504 JW5956
b0247	UPF0758 protein YkfG	ykfG b0247 JW0236
b0248	Uncharacterized protein YafX	yafX b0248 JW5022
b0249	UPF0401 protein YkfF	ykfF b0249 JW5023
b0250	Uncharacterized protein YkfB	ykfB b0250 JW0239
b0251	Lipoprotein YafY	yafY b0251 JW0240
b0252	UPF0380 protein YafZ	yafZ b0252 JW0242
b0253	Uncharacterized protein YkfA	ykfA b0253 JW0243
b0254	HTH-type transcriptional regulator PerR (Peroxide resistance protein PerR)	perR b0254 JW0244
b0256	Transposase InsI for insertion sequence element IS30A	insI1 b0256 JW0246
b0258	Protein YkfC	ykfC b0258 JW5813
b0259	Transposase InsH for insertion sequence element IS5A	insH1 b0259 JW0250
b0260	Probable S-methylmethionine permease	mmuP ykfD b0260 JW5027
b0261	Homocysteine S-methyltransferase (EC 2.1.1.10) (S-methylmethionine:homocysteine methyltransferase)	mmuM yagD b0261 JW0253
b0262	Fe(3+) ions import ATP-binding protein FbpC (EC 7.2.2.7)	fbpC afuC yagC b0262 JW0254
b0263	Putative ferric transport system permease-like protein AfuB	afuB fbpB b0263 JW0255
b0264	Insertion element IS1 2 protein InsB (IS1b)	insB2 b0264 JW0256
b0265	Insertion element IS1 2 protein InsA (IS1b)	insA2 b0265 JW0257
b0266	Orphan antitoxin YagB	yagB b0266 JW0259
b0267	Uncharacterized protein YagA	yagA b0267 JW0260
b0268	Putative 2-dehydro-3-deoxy-D-gluconate aldolase YagE (KDG aldolase YagE) (EC 4.1.2.51) (Putative 2-dehydro-3-deoxy-D-pentonate aldolase YagE) (EC 4.1.2.28)	yagE b0268 JW0261
b0269	D-xylonate dehydratase YagF (EC 4.2.1.82)	yagF b0269 JW0262
b0270	Putative glycoside/cation symporter YagG	yagG b0270 JW0263
b0271	Putative beta-xylosidase (EC 3.2.1.37) (1,4-beta-D-xylan xylohydrolase) (Xylan 1,4-beta-xylosidase)	yagH b0271 JW0264
b0272	HTH-type transcriptional regulator XynR (Regulator of xylonate catabolism)	xynR yagI b0272 JW0265
b0273	Ornithine carbamoyltransferase subunit F (OTCase-2) (EC 2.1.3.3)	argF b0273 JW0266
b4688	Protein YkgS	ykgS ykgU b4688
b0274	Insertion element IS1 3 protein InsB (IS1c)	insB3 b0274 JW0268
b0275	Insertion element IS1 3 protein InsA (IS1c)	insA3 b0275 JW0269
b0276	Protein YagJ	yagJ b0276 JW0270
b0277	Uncharacterized protein YagK	yagK b0277 JW0271
b0278	Uncharacterized protein YagL	yagL b0278 JW0272
b0279	Uncharacterized protein YagM	yagM b0279 JW0273
b4729	Protein YkgV	ykgV b4729
b0280	Uncharacterized protein YagN	yagN b0280 JW0274
b0281	Prophage integrase IntF (Putative prophage CP4-6 integrase)	intF yagO b0281 JW0275
b0282	NA	NA
b0283	Molybdenum cofactor insertion chaperone PaoD	paoD yagQ b0283 JW0277
b0284	Aldehyde oxidoreductase molybdenum-binding subunit PaoC (EC 1.2.99.6)	paoC yagR b0284 JW0278
b0285	Aldehyde oxidoreductase FAD-binding subunit PaoB (EC 1.2.99.6)	paoB yagS b0285 JW0279
b0286	Aldehyde oxidoreductase iron-sulfur-binding subunit PaoA (EC 1.2.99.6)	paoA yagT b0286 JW0280
b0287	Inner membrane protein YagU	yagU b0287 JW0281
b0288	Uncharacterized protein YkgJ	ykgJ b0288 JW0282
b0289	Probable fimbrial chaperone EcpE	ecpE matF yagV b0289 JW5030
b0290	Fimbria adhesin EcpD	ecpD matE yagW b0290 JW0284
b0291	Probable outer membrane usher protein EcpC	ecpC matD yagX b0291 JW0285
b0292	Probable fimbrial chaperone EcpB	ecpB matC yagY b0292 JW0286
b0293	Common pilus major fimbrillin subunit EcpA (MatB fimbrillin)	ecpA matB yagZ b0293 JW0287
b0294	HTH-type transcriptional regulator EcpR	ecpR matA ykgK b0294 JW5031
b0295	Uncharacterized protein YkgL	ykgL b0295 JW5033
b4506	50S ribosomal protein L36 2 (Large ribosomal subunit protein bL36-B)	ykgO rpmJ2 b4506 JW5034
b0296	50S ribosomal protein L31 type B (Large ribosomal subunit protein bL31-B)	ykgM rpmE2 b0296 JW5035
b4671	Uncharacterized membrane protein YkgR	ykgR b4671 JW5035.1
b4630	NA	NA
b0297	Putative attaching and effacing protein homolog	eaeH b0297 JW0291
b0298	Transposase InsE for insertion sequence IS3A	insE1 b0298 JW5036
b0299	Transposase InsF for insertion sequence IS3A	insF1 b0299 JW0293
b0300	Putative HTH-type transcriptional regulator YkgA	ykgA b0300 JW5037
b0301	Inner membrane protein RclC (Reactive chlorine resistance protein C)	rclC ykgB b0301 JW5038
b0303	Uncharacterized protein RclB (Reactive chlorine resistance protein B)	rclB ykgI b0303 JW5039
b0304	Probable pyridine nucleotide-disulfide oxidoreductase RclA (Reactive chlorine resistance protein A)	rclA ykgC b0304 JW5040
b0305	RCS-specific HTH-type transcriptional activator RclR (Reactive chlorine resistance protein R)	rclR ykgD b0305 JW0298
b0306	Uncharacterized protein YkgE	ykgE b0306 JW5041
b0307	Uncharacterized electron transport protein YkgF	ykgF b0307 JW0300
b0308	Uncharacterized protein YkgG	ykgG b0308 JW5042
b0310	Uncharacterized protein YkgH	ykgH b0310 JW0302
b0311	Oxygen-dependent choline dehydrogenase (CDH) (CHD) (EC 1.1.99.1) (Betaine aldehyde dehydrogenase) (BADH) (EC 1.2.1.8)	betA b0311 JW0303
b0312	Betaine aldehyde dehydrogenase (BADH) (EC 1.2.1.8)	betB b0312 JW0304
b0313	HTH-type transcriptional regulator BetI	betI b0313 JW0305
b0314	High-affinity choline transport protein	betT b0314 JW0306
b4730	Protein YahV	yahV b4730
b0315	Cyclic di-GMP phosphodiesterase PdeL (EC 3.1.4.52)	pdeL yahA b0315 JW0307
b0316	Uncharacterized HTH-type transcriptional regulator YahB	yahB b0316 JW0308
b0317	Uncharacterized protein YahC	yahC b0317 JW0309
b0318	Putative ankyrin repeat protein YahD	yahD b0318 JW0310
b0319	Uncharacterized protein YahE	yahE b0319 JW0311
b0320	Uncharacterized protein YahF	yahF b0320 JW0312
b0321	Uncharacterized protein YahG	yahG b0321 JW0313
b0322	Putative uncharacterized protein YahH	yahH b0322 JW5893
b0323	Carbamate kinase-like protein YahI	yahI b0323 JW0315
b0324	Uncharacterized protein YahJ	yahJ b0324 JW0316
b0325	Aldehyde reductase YahK (EC 1.1.1.2) (Zinc-dependent alcohol dehydrogenase YahK)	yahK b0325 JW0317
b0326	Uncharacterized protein YahL	yahL b0326 JW0318
b0327	Uncharacterized protein YahM	yahM b0327 JW5044
b0328	Uncharacterized membrane protein YahN	yahN b0328 JW0320
b0329	Uncharacterized protein YahO	yahO b0329 JW0321
b0330	Propionate catabolism operon regulatory protein	prpR yahP b0330 JW0322
b0331	2-methylisocitrate lyase (2-MIC) (MICL) (EC 4.1.3.30) ((2R,3S)-2-methylisocitrate lyase)	prpB yahQ b0331 JW0323
b0333	2-methylcitrate synthase (2-MCS) (MCS) (EC 2.3.3.5) ((2S,3S)-2-methylcitrate synthase) (Citrate synthase) (EC 2.3.3.16)	prpC yahS yzzD b0333 JW0324
b0334	2-methylcitrate dehydratase (2-MC dehydratase) (EC 4.2.1.79) ((2S,3S)-2-methylcitrate dehydratase) (Aconitate hydratase) (ACN) (Aconitase) (EC 4.2.1.3)	prpD yahT b0334 JW0325
b0335	Propionate--CoA ligase (EC 6.2.1.17) (Propionyl-CoA synthetase)	prpE yahU b0335 JW0326
b0336	Cytosine permease	codB b0336 JW0327
b0337	Cytosine deaminase (CD) (CDA) (CDase) (EC 3.5.4.1) (Cytosine aminohydrolase) (Isoguanine deaminase) (EC 3.5.4.-)	codA b0337 JW0328
b0338	HTH-type transcriptional regulator CynR (Cyn operon transcriptional activator)	cynR b0338 JW5894
b0339	Carbonic anhydrase 1 (EC 4.2.1.1) (Carbonate dehydratase 1)	cynT b0339 JW0330
b0340	Cyanate hydratase (Cyanase) (EC 4.2.1.104) (Cyanate hydrolase) (Cyanate lyase)	cynS cnt b0340 JW0331
b0341	Cyanate transport protein CynX	cynX b0341 JW0332
b0342	Galactoside O-acetyltransferase (GAT) (EC 2.3.1.18) (Acetyl-CoA:galactoside 6-O-acetyltransferase) (Thiogalactoside acetyltransferase) (Thiogalactoside transacetylase)	lacA b0342 JW0333
b0343	Lactose permease (Lactose-proton symport)	lacY b0343 JW0334
b0344	Beta-galactosidase (Beta-gal) (EC 3.2.1.23) (Lactase)	lacZ b0344 JW0335
b0345	Lactose operon repressor	lacI b0345 JW0336
b0346	DNA-binding transcriptional activator MhpR (mhp operon transcriptional activator)	mhpR b0346 JW0337
b0347	3-(3-hydroxy-phenyl)propionate/3-hydroxycinnamic acid hydroxylase (3-HCI hydroxylase) (3-HPP hydroxylase) (EC 1.14.13.127)	mhpA b0347 JW0338
b0348	2,3-dihydroxyphenylpropionate/2,3-dihydroxicinnamic acid 1,2-dioxygenase (EC 1.13.11.16) (3-carboxyethylcatechol 2,3-dioxygenase)	mhpB b0348 JW0339
b0349	2-hydroxy-6-oxononadienedioate/2-hydroxy-6-oxononatrienedioate hydrolase (EC 3.7.1.14) (2-hydroxy-6-ketonona-2,4-diene-1,9-dioic acid 5,6-hydrolase) (2-hydroxy-6-oxonona-2,4,7-triene-1,9-dioic acid 5,6-hydrolase) (2-hydroxy-6-oxonona-2,4-diene-1,9-dioic acid 5,6-hydrolase)	mhpC b0349 JW0340
b0350	2-keto-4-pentenoate hydratase (EC 4.2.1.80) (2-hydroxypentadienoic acid hydratase)	mhpD b0350 JW0341
b0351	Acetaldehyde dehydrogenase (EC 1.2.1.10) (Acetaldehyde dehydrogenase [acetylating])	mhpF mhpE b0351 JW0342
b0352	4-hydroxy-2-oxovalerate aldolase (HOA) (EC 4.1.3.39) (4-hydroxy-2-keto-pentanoic acid aldolase) (4-hydroxy-2-oxopentanoate aldolase)	mhpE b0352 JW0343
b0353	3-(3-hydroxy-phenyl)propionate transporter (3HPP transporter) (3-(3-hydroxy-phenyl)propionate:H(+) symporter) (3HPP:H(+) symporter)	mhpT yaiK b0353 JW5046
b0354	Uncharacterized protein YaiL	yaiL b0354 JW0345
b0355	S-formylglutathione hydrolase FrmB (FGH) (EC 3.1.2.12)	frmB yaiM b0355 JW0346
b0356	S-(hydroxymethyl)glutathione dehydrogenase (EC 1.1.1.284) (Alcohol dehydrogenase class-3) (EC 1.1.1.1) (Alcohol dehydrogenase class-III) (Glutathione-dependent formaldehyde dehydrogenase) (FALDH) (FDH) (GSH-FDH) (EC 1.1.1.-)	frmA adhC b0356 JW0347
b0357	Transcriptional repressor FrmR	frmR yaiN b0357 JW0348
b0358	Outer membrane protein YaiO	yaiO b0358 JW0349
b0360	Transposase InsC for insertion element IS2A	insC1 b0360 JW0351
b0361	Transposase InsD for insertion element IS2A	insD1 b0361 JW0352
b0363	Uncharacterized glycosyltransferase YaiP (EC 2.4.-.-)	yaiP b0363 JW0355
b4731	Protein YkiC	ykiC b4731
b0364	Uncharacterized deacetylase YaiS (EC 3.-.-.-)	yaiS b0364 JW0356
b0365	Taurine-binding periplasmic protein (Sulfate starvation-induced protein 1) (SSI1)	tauA ssiA yaiR b0365 JW0357
b0366	Taurine import ATP-binding protein TauB (EC 7.6.2.7)	tauB ssiB yaiQ b0366 JW0358
b0367	Taurine transport system permease protein TauC	tauC ssiC yaiJ b0367 JW0359
b0368	Alpha-ketoglutarate-dependent taurine dioxygenase (EC 1.14.11.17) (2-aminoethanesulfonate dioxygenase) (Sulfate starvation-induced protein 3) (SSI3)	tauD ssiD yaiG b0368 JW0360
b0369	Delta-aminolevulinic acid dehydratase (ALAD) (ALADH) (EC 4.2.1.24) (Porphobilinogen synthase)	hemB ncf b0369 JW0361
b0372	Transposase InsF for insertion sequence IS3B	insF2 b0372 JW0363
b0373	Transposase InsE for insertion sequence IS3B	insE2 b0373 JW5050
b0375	Inhibitor of hydrogen peroxide resistance	iprA yaiV b0375 JW0366
b0376	D-alanyl-D-alanine-carboxypeptidase/endopeptidase AmpH (EC 3.4.-.-) (DD-alanine-endopeptidase) (DD-carboxypeptidase) (Penicillin-binding protein AmpH)	ampH yaiH b0376 JW5052
b0377	Peptide antibiotic transporter SbmA	sbmA b0377 JW0368
b0378	Uncharacterized protein YaiW	yaiW b0378 JW0369
b0379	Inner membrane protein YaiY	yaiY b0379 JW0370
b0380	Uncharacterized protein YaiZ	yaiZ b0380 JW5053
b0381	D-alanine--D-alanine ligase A (EC 6.3.2.4) (D-Ala-D-Ala ligase A) (D-alanylalanine synthetase A)	ddlA b0381 JW0372
b0382	Anti-adapter protein IraP	iraP yaiB b0382 JW0373
b0383	Alkaline phosphatase (APase) (EC 3.1.3.1)	phoA b0383 JW0374
b0384	Phosphate starvation-inducible protein PsiF	psiF b0384 JW5054
b0385	Probable diguanylate cyclase DgcC (DGC) (EC 2.7.7.65)	dgcC adrA yaiC b0385 JW0376
b0386	Pyrroline-5-carboxylate reductase (P5C reductase) (P5CR) (EC 1.5.1.2) (PCA reductase)	proC b0386 JW0377
b0387	UPF0178 protein YaiI	yaiI b0387 JW0378
b0388	Shikimate kinase 2 (SK 2) (EC 2.7.1.71) (Shikimate kinase II) (SKII)	aroL b0388 JW0379
b0389	Uncharacterized protein YaiA	yaiA b0389 JW0380
b0390	Protein AroM	aroM b0390 JW0381
b0391	Pyrimidine/purine nucleoside phosphorylase (EC 2.4.2.1) (EC 2.4.2.2) (Adenosine phosphorylase) (Cytidine phosphorylase) (Guanosine phosphorylase) (Inosine phosphorylase) (Thymidine phosphorylase) (Uridine phosphorylase) (Xanthosine phosphorylase)	ppnP yaiE b0391 JW0382
b0392	Putative uncharacterized protein YkiA	ykiA b0392 JW0383
b4732	Protein YkiD	ykiD b4732
b0393	Recombination-associated protein RdgC	rdgC yaiD b0393 JW0384
b0394	Fructokinase (EC 2.7.1.4) (D-fructose kinase) (Manno(fructo)kinase)	mak yajF b0394 JW0385
b0396	Putative transporter AraJ	araJ b0396 JW0386
b0397	Nuclease SbcCD subunit C	sbcC rmuA b0397 JW0387
b0398	Nuclease SbcCD subunit D	sbcD yajA b0398 JW0388
b0399	Phosphate regulon transcriptional regulatory protein PhoB	phoB b0399 JW0389
b0400	Phosphate regulon sensor protein PhoR (EC 2.7.13.3)	phoR nmpB b0400 JW0390
b0401	Branched-chain amino acid transport system 2 carrier protein (LIV-II)	brnQ b0401 JW0391
b0402	Proline-specific permease ProY	proY yajM b0402 JW5055
b0403	Maltodextrin glucosidase (EC 3.2.1.20) (Alpha-glucosidase)	malZ b0403 JW0393
b0404	Acyl carrier protein phosphodiesterase (ACP phosphodiesterase) (EC 3.1.4.14)	acpH yajB b0404 JW0394
b0405	S-adenosylmethionine:tRNA ribosyltransferase-isomerase (EC 2.4.99.17) (Queuosine biosynthesis protein QueA)	queA b0405 JW0395
b0406	Queuine tRNA-ribosyltransferase (EC 2.4.2.29) (Guanine insertion enzyme) (tRNA-guanine transglycosylase)	tgt b0406 JW0396
b0407	Sec translocon accessory complex subunit YajC	yajC b0407 JW0397
b0408	Protein translocase subunit SecD (Sec translocon accessory complex subunit SecD)	secD b0408 JW0398
b0409	Protein translocase subunit SecF (Sec translocon accessory complex subunit SecF)	secF b0409 JW0399
b0410	Putative HNH nuclease YajD (EC 3.1.-.-)	yajD b0410 JW0400
b0411	Nucleoside-specific channel-forming protein Tsx	tsx nupA b0411 JW0401
b0412	Uncharacterized lipoprotein YajI	yajI b0412 JW5056
b0413	Transcriptional repressor NrdR	nrdR ybaD b0413 JW0403
b0414	Riboflavin biosynthesis protein RibD [Includes: Diaminohydroxyphosphoribosylaminopyrimidine deaminase (DRAP deaminase) (EC 3.5.4.26) (Riboflavin-specific deaminase); 5-amino-6-(5-phosphoribosylamino)uracil reductase (EC 1.1.1.193) (HTP reductase)]	ribD ribG ybaE b0414 JW0404
b0415	6,7-dimethyl-8-ribityllumazine synthase (DMRL synthase) (LS) (Lumazine synthase) (EC 2.5.1.78)	ribE ribH ybaF b0415 JW0405
b0416	Transcription antitermination protein NusB (Antitermination factor NusB) (N utilization substance protein B)	nusB groNB ssyB b0416 JW0406
b0417	Thiamine-monophosphate kinase (TMP kinase) (Thiamine-phosphate kinase) (EC 2.7.4.16)	thiL b0417 JW0407
b0418	Phosphatidylglycerophosphatase A (EC 3.1.3.27) (Phosphatidylglycerolphosphate phosphatase A) (PGP phosphatase A)	pgpA yajN b0418 JW0408
b0419	1-deoxyxylulose-5-phosphate synthase YajO (EC 1.1.-.-)	yajO b0419 JW0409
b0420	1-deoxy-D-xylulose-5-phosphate synthase (EC 2.2.1.7) (1-deoxyxylulose-5-phosphate synthase) (DXP synthase) (DXPS)	dxs yajP b0420 JW0410
b0421	Farnesyl diphosphate synthase (FPP synthase) (EC 2.5.1.10) ((2E,6E)-farnesyl diphosphate synthase) (Geranyltranstransferase)	ispA b0421 JW0411
b0422	Exodeoxyribonuclease 7 small subunit (EC 3.1.11.6) (Exodeoxyribonuclease VII small subunit) (ExoVII small subunit) (Exonuclease VII small subunit)	xseB yajE b0422 JW0412
b0423	tRNA sulfurtransferase (EC 2.8.1.4) (Sulfur carrier protein ThiS sulfurtransferase) (Thiamine biosynthesis protein ThiI) (tRNA 4-thiouridine synthase)	thiI yajK b0423 JW0413
b0424	Protein/nucleic acid deglycase 3 (EC 3.1.2.-) (EC 3.5.1.-) (EC 3.5.1.124) (Chaperone protein YajL) (Maillard deglycase)	yajL thiJ b0424 JW5057
b0425	2-dehydropantoate 2-reductase (EC 1.1.1.169) (Ketopantoate reductase) (KPA reductase) (KPR)	panE apbA b0425 JW0415
b0426	UPF0234 protein YajQ	yajQ b0426 JW5058
b0427	Inner membrane transport protein YajR	yajR b0427 JW5059
b0428	Protoheme IX farnesyltransferase (EC 2.5.1.141) (Heme B farnesyltransferase) (Heme O synthase)	cyoE b0428 JW0418
b0429	Cytochrome bo(3) ubiquinol oxidase subunit 4 (Cytochrome o ubiquinol oxidase subunit 4) (Cytochrome o subunit 4) (Oxidase bo(3) subunit 4) (Ubiquinol oxidase chain D) (Ubiquinol oxidase polypeptide IV) (Ubiquinol oxidase subunit 4)	cyoD b0429 JW0419
b0430	Cytochrome bo(3) ubiquinol oxidase subunit 3 (Cytochrome o ubiquinol oxidase subunit 3) (Cytochrome o subunit 3) (Oxidase bo(3) subunit 3) (Ubiquinol oxidase chain C) (Ubiquinol oxidase polypeptide III) (Ubiquinol oxidase subunit 3)	cyoC b0430 JW0420
b0431	Cytochrome bo(3) ubiquinol oxidase subunit 1 (EC 7.1.1.3) (Cytochrome b562-o complex subunit I) (Cytochrome o ubiquinol oxidase subunit 1) (Cytochrome o subunit 1) (Oxidase bo(3) subunit 1) (Ubiquinol oxidase chain A) (Ubiquinol oxidase polypeptide I) (Ubiquinol oxidase subunit 1)	cyoB b0431 JW0421
b0432	Cytochrome bo(3) ubiquinol oxidase subunit 2 (Cytochrome b562-o complex subunit II) (Cytochrome o ubiquinol oxidase subunit 2) (Cytochrome o subunit 2) (Oxidase bo(3) subunit 2) (Ubiquinol oxidase chain B) (Ubiquinol oxidase polypeptide II) (Ubiquinol oxidase subunit 2)	cyoA b0432 JW0422
b0433	Anhydromuropeptide permease (AmpG permease) (Muropeptide:H(+) symporter)	ampG b0433 JW0423
b0434	Uncharacterized lipoprotein YajG	yajG b0434 JW0424
b0435	DNA-binding transcriptional regulator BolA	bolA b0435 JW5060
b0436	Trigger factor (TF) (EC 5.2.1.8) (PPIase)	tig b0436 JW0426
b0437	ATP-dependent Clp protease proteolytic subunit (EC 3.4.21.92) (Caseinolytic protease) (Endopeptidase Clp) (Heat shock protein F21.5) (Protease Ti)	clpP lopP b0437 JW0427
b0438	ATP-dependent Clp protease ATP-binding subunit ClpX (ATP-dependent unfoldase ClpX)	clpX lopC b0438 JW0428
b0439	Lon protease (EC 3.4.21.53) (ATP-dependent protease La)	lon capR deg lopA muc b0439 JW0429
b0440	DNA-binding protein HU-beta (HU-1) (NS1)	hupB hopD b0440 JW0430
b0441	Periplasmic chaperone PpiD (Periplasmic folding chaperone)	ppiD ybaU b0441 JW0431
b0442	Uncharacterized protein YbaV	ybaV b0442 JW0432
b0443	Long-chain acyl-CoA thioesterase FadM (EC 3.1.2.-) (Acyl-CoA thioester hydrolase) (Thioesterase 3) (Thioesterase III)	fadM tesC ybaW b0443 JW0433
