Entry	Gene Names	Protein names
P09546	putA poaA b1014 JW0999	Bifunctional protein PutA [Includes: Proline dehydrogenase (EC 1.5.5.2) (Proline oxidase); Delta-1-pyrroline-5-carboxylate dehydrogenase (P5C dehydrogenase) (EC 1.2.1.88) (L-glutamate gamma-semialdehyde dehydrogenase)]
P09831	gltB aspB b3212 JW3179	Glutamate synthase [NADPH] large chain (EC 1.4.1.13) (Glutamate synthase subunit alpha) (GLTS alpha chain) (NADPH-GOGAT)
P09832	gltD aspB b3213 JW3180	Glutamate synthase [NADPH] small chain (EC 1.4.1.13) (Glutamate synthase subunit beta) (GLTS beta chain) (NADPH-GOGAT)
P09835	uhpB b3668 JW3643	Signal transduction histidine-protein kinase/phosphatase UhpB (EC 2.7.13.3) (EC 3.1.3.-)
P09980	rep b3778 JW5604	ATP-dependent DNA helicase Rep (EC 3.6.4.12)
P0A698	uvrA dinE b4058 JW4019	UvrABC system protein A (UvrA protein) (Excinuclease ABC subunit A)
P0A6A0	ubiB aarF yigQ yigR yigS b3835 JW3812	Probable protein kinase UbiB (EC 2.7.-.-) (Ubiquinone biosynthesis protein UbiB)
P0A6A3	ackA ack b2296 JW2293	Acetate kinase (EC 2.7.2.1) (Acetokinase)
P0A6A8	acpP b1094 JW1080	Acyl carrier protein (ACP) (Cytosolic-activating factor) (CAF) (Fatty acid synthase acyl carrier protein)
P0A6B4	alr b4053 JW4013	Alanine racemase, biosynthetic (EC 5.1.1.1)
P0A6B7	iscS nuvC yfhO yzzO b2530 JW2514	Cysteine desulfurase IscS (EC 2.8.1.7) (NifS protein homolog) (ThiI transpersulfidase) (TusA transpersulfidase)
P0A6C1	nfo b2159 JW2146	Endonuclease 4 (EC 3.1.21.2) (Endodeoxyribonuclease IV) (Endonuclease IV)
P0A6C8	argB b3959 JW5553	Acetylglutamate kinase (EC 2.7.2.8) (N-acetyl-L-glutamate 5-phosphotransferase) (NAG kinase) (NAGK)
P0A6D0	argR xerA b3237 JW3206	Arginine repressor
P0A6D3	aroA b0908 JW0891	3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS)
P0A6D5	ydiB	Quinate/shikimate dehydrogenase (EC 1.1.1.282) (NAD-dependent shikimate 5-dehydrogenase)
P0A6D7	aroK b3390 JW5947	Shikimate kinase 1 (SK 1) (EC 2.7.1.71) (Shikimate kinase I) (SKI)
P0A6E1	aroL b0388 JW0379	Shikimate kinase 2 (SK 2) (EC 2.7.1.71) (Shikimate kinase II) (SKII)
P0A6E4	argG b3172 JW3140	Argininosuccinate synthase (EC 6.3.4.5) (Citrulline--aspartate ligase)
P0A6E6	atpC papG uncC b3731 JW3709	ATP synthase epsilon chain (ATP synthase F1 sector epsilon subunit) (F-ATPase epsilon subunit)
P0A6F1	carA pyrA b0032 JW0030	Carbamoyl-phosphate synthase small chain (EC 6.3.5.5) (Carbamoyl-phosphate synthetase glutamine chain)
P0A6F3	glpK b3926 JW3897	Glycerol kinase (EC 2.7.1.30) (ATP:glycerol 3-phosphotransferase) (Glycerokinase) (GK)
P0A6F5	groEL groL mopA b4143 JW4103	Chaperonin GroEL (EC 5.6.1.7) (60 kDa chaperonin) (Chaperonin-60) (Cpn60) (GroEL protein)
P0A6F9	groES groS mopB b4142 JW4102	Co-chaperonin GroES (10 kDa chaperonin) (Chaperonin-10) (Cpn10)
P0A6G7	clpP lopP b0437 JW0427	ATP-dependent Clp protease proteolytic subunit (EC 3.4.21.92) (Caseinolytic protease) (Endopeptidase Clp) (Heat shock protein F21.5) (Protease Ti)
P0A6H1	clpX lopC b0438 JW0428	ATP-dependent Clp protease ATP-binding subunit ClpX (ATP-dependent unfoldase ClpX)
P0A6H5	hslU htpI b3931 JW3902	ATP-dependent protease ATPase subunit HslU (Heat shock protein HslU) (Unfoldase HslU)
P0A6H8	clsA cls nov yciJ b1249 JW1241	Cardiolipin synthase A (CL synthase) (EC 2.7.8.-)
P0A6I0	cmk mssA ycaF ycaG b0910 JW0893	Cytidylate kinase (CK) (EC 2.7.4.25) (Cytidine monophosphate kinase) (CMP kinase) (Protein MssA) (p25)
P0A6I6	coaD kdtB yicA b3634 JW3609	Phosphopantetheine adenylyltransferase (EC 2.7.7.3) (Dephospho-CoA pyrophosphorylase) (Pantetheine-phosphate adenylyltransferase) (PPAT)
P0A6J1	cysC b2750 JW2720	Adenylyl-sulfate kinase (EC 2.7.1.25) (APS kinase) (ATP adenosine-5'-phosphosulfate 3'-phosphotransferase) (Adenosine-5'-phosphosulfate kinase)
P0A6J3	cysZ b2413 JW2406	Sulfate transporter CysZ
P0A6J5	dadA dadR b1189 JW1178	D-amino acid dehydrogenase (EC 1.4.99.-) (D-alanine dehydrogenase)
P0A6K1	dapF b3809 JW5592	Diaminopimelate epimerase (DAP epimerase) (EC 5.1.1.7) (PLP-independent amino acid racemase)
P0A6K3	def fms b3287 JW3248	Peptide deformylase (PDF) (EC 3.5.1.88) (Polypeptide deformylase)
P0A6K6	deoB drm thyR b4383 JW4346	Phosphopentomutase (EC 5.4.2.7) (Phosphodeoxyribomutase)
P0A6L0	deoC dra thyR b4381 JW4344	Deoxyribose-phosphate aldolase (DERA) (EC 4.1.2.4) (2-deoxy-D-ribose 5-phosphate aldolase) (Phosphodeoxyriboaldolase) (Deoxyriboaldolase)
P0A6L2	dapA b2478 JW2463	4-hydroxy-tetrahydrodipicolinate synthase (HTPA synthase) (EC 4.3.3.7)
P0A6L4	nanA npl b3225 JW3194	N-acetylneuraminate lyase (NAL) (Neu5Ac lyase) (EC 4.1.3.3) (N-acetylneuraminate pyruvate-lyase) (N-acetylneuraminic acid aldolase) (NALase) (Sialate lyase) (Sialic acid aldolase) (Sialic acid lyase)
P0A6M2	dsbB roxB ycgA b1185 JW5182	Disulfide bond formation protein B (Disulfide oxidoreductase)
P0A6M4	dtd yihZ b3887 JW3858	D-aminoacyl-tRNA deacylase (DTD) (EC 3.1.1.96) (D-tyrosyl RNA deacylase) (D-tyrosyl-tRNA(Tyr) deacylase) (Gly-tRNA(Ala) deacylase) (Gly-tRNA(Gly) deacylase)
P0A6N4	efp b4147 JW4107	Elongation factor P (EF-P)
P0A6P1	tsf b0170 JW0165	Elongation factor Ts (EF-Ts) (Bacteriophage Q beta RNA-directed RNA polymerase subunit IV)
P0A6P5	der engA yfgK b2511 JW5403	GTPase Der (Double era-like domain protein) (GTP-binding protein EngA)
P0A6P9	eno b2779 JW2750	Enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (2-phosphoglycerate dehydratase)
P0A6Q3	fabA b0954 JW0937	3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase (EC 4.2.1.59) (3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabA) (Beta-hydroxydecanoyl thioester dehydrase) (Trans-2-decenoyl-[acyl-carrier-protein] isomerase) (EC 5.3.3.14)
P0A6Q6	fabZ sefA yaeA b0180 JW0175	3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ (EC 4.2.1.59) ((3R)-hydroxymyristoyl-[acyl-carrier-protein] dehydratase) ((3R)-hydroxymyristoyl-ACP dehydrase) (17 kDa actomyosin component) (Beta-hydroxyacyl-ACP dehydratase)
P0A6R0	fabH b1091 JW1077	Beta-ketoacyl-[acyl-carrier-protein] synthase III (Beta-ketoacyl-ACP synthase III) (KAS III) (EC 2.3.1.180) (3-oxoacyl-[acyl-carrier-protein] synthase 3) (3-oxoacyl-[acyl-carrier-protein] synthase III) (EcFabH)
P0A6R3	fis b3261 JW3229	DNA-binding protein Fis (Factor-for-inversion stimulation protein) (Hin recombinational enhancer-binding protein)
P0A6S5	ftsB ygbQ b2748 JW2718	Cell division protein FtsB
P0A6T1	pgi b4025 JW3985	Glucose-6-phosphate isomerase (GPI) (EC 5.3.1.9) (Phosphoglucose isomerase) (PGI) (Phosphohexose isomerase) (PHI)
P0A6T3	galK galA b0757 JW0740	Galactokinase (EC 2.7.1.6) (Galactose kinase)
P0A6T5	folE b2153 JW2140	GTP cyclohydrolase 1 (EC 3.5.4.16) (GTP cyclohydrolase I) (GTP-CH-I)
P0A6U3	mnmG gidA trmF b3741 JW3719	tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG (Glucose-inhibited division protein A)
P0A6U5	rsmG gidB b3740 JW3718	Ribosomal RNA small subunit methyltransferase G (EC 2.1.1.170) (16S rRNA 7-methylguanosine methyltransferase) (16S rRNA m7G methyltransferase) (Glucose-inhibited division protein B)
P0A6V1	glgC b3430 JW3393	Glucose-1-phosphate adenylyltransferase (EC 2.7.7.27) (ADP-glucose pyrophosphorylase) (ADPGlc PPase) (ADP-glucose synthase)
P0A6W3	mraY murX b0087 JW0085	Phospho-N-acetylmuramoyl-pentapeptide-transferase (EC 2.7.8.13) (UDP-MurNAc-pentapeptide phosphotransferase)
P0A6X1	hemA b1210 JW1201	Glutamyl-tRNA reductase (GluTR) (EC 1.2.1.70)
P0A6X3	hfq b4172 JW4130	RNA-binding protein Hfq (HF-1) (Host factor-I protein) (HF-I)
P0A6X7	ihfA hid himA b1712 JW1702	Integration host factor subunit alpha (IHF-alpha)
P0A6Y1	ihfB himD hip b0912 JW0895	Integration host factor subunit beta (IHF-beta)
P0A6Y5	hslO yrfI b3401 JW5692	33 kDa chaperonin (Heat shock protein 33) (HSP33)
P0A6Y8	dnaK groP grpF seg b0014 JW0013	Chaperone protein DnaK (HSP70) (Heat shock 70 kDa protein) (Heat shock protein 70)
P0A6Z3	htpG b0473 JW0462	Chaperone protein HtpG (Heat shock protein C62.5) (Heat shock protein HtpG) (High temperature protein G)
P0A6Z6	nikR yhhG b3481 JW3446	Nickel-responsive regulator
P0A700	hypA b2726 JW2696	Hydrogenase maturation factor HypA
P0A703	hybF b2991 JW5493	Hydrogenase maturation factor HybF (Hydrogenase nickel incorporation protein HybF) (Hydrogenase-2 operon protein HybF)
P0A705	infB gicD ssyG b3168 JW3137	Translation initiation factor IF-2
P0A707	infC fit srjA b1718 JW5829	Translation initiation factor IF-3 [Cleaved into: Translation initiation factor IF-3, N-terminally processed; Translation initiation factor IF-3S]
P0A710	yciB ispZ b1254 JW1246	Inner membrane-spanning protein YciB
P0A712	kdgT b3909 JW5560	2-keto-3-deoxygluconate permease (KDG permease) (3-deoxy-2-oxo-D-gluconate-transport system)
P0A715	kdsA b1215 JW1206	2-dehydro-3-deoxyphosphooctonate aldolase (EC 2.5.1.55) (3-deoxy-D-manno-octulosonic acid 8-phosphate synthase) (KDO-8-phosphate synthase) (KDO 8-P synthase) (KDOPS) (Phospho-2-dehydro-3-deoxyoctonate aldolase)
P0A717	prs prsA b1207 JW1198	Ribose-phosphate pyrophosphokinase (RPPK) (EC 2.7.6.1) (5-phospho-D-ribosyl alpha-1-diphosphate) (Phosphoribosyl diphosphate synthase) (Phosphoribosyl pyrophosphate synthase) (P-Rib-PP synthase) (PRPP synthase) (PRPPase)
P0A720	tmk ycfG b1098 JW1084	Thymidylate kinase (EC 2.7.4.9) (Thymidine monophosphate kinase) (dTMP kinase) (TMPK)
P0A725	lpxC asmB envA b0096 JW0094	UDP-3-O-acyl-N-acetylglucosamine deacetylase (UDP-3-O-acyl-GlcNAc deacetylase) (EC 3.5.1.108) (Protein EnvA) (UDP-3-O-[R-3-hydroxymyristoyl]-N-acetylglucosamine deacetylase)
P0A729	yceF b1087 JW5155	7-methyl-GTP pyrophosphatase (m(7)GTP pyrophosphatase) (EC 3.6.1.-)
P0A731	mgsA yccG b0963 JW5129	Methylglyoxal synthase (MGS) (EC 4.2.3.3)
P0A738	moaC chlA3 b0783 JW0766	Cyclic pyranopterin monophosphate synthase (EC 4.6.1.17) (Molybdenum cofactor biosynthesis protein C)
P0A742	mscL yhdC b3291 JW3252	Large-conductance mechanosensitive channel
P0A744	msrA pms b4219 JW4178	Peptide methionine sulfoxide reductase MsrA (Protein-methionine-S-oxide reductase) (EC 1.8.4.11) (Peptide-methionine (S)-S-oxide reductase) (Peptide Met(O) reductase)
P0A746	msrB yeaA b1778 JW1767	Peptide methionine sulfoxide reductase MsrB (EC 1.8.4.12) (Peptide-methionine (R)-S-oxide reductase)
P0A749	murA murZ b3189 JW3156	UDP-N-acetylglucosamine 1-carboxyvinyltransferase (EC 2.5.1.7) (Enoylpyruvate transferase) (UDP-N-acetylglucosamine enolpyruvyl transferase) (EPT)
P0A754	kefF yabF b0046 JW0045	Glutathione-regulated potassium-efflux system ancillary protein KefF (Quinone oxidoreductase KefF) (EC 1.6.5.2)
P0A759	nagB glmD b0678 JW0664	Glucosamine-6-phosphate deaminase (EC 3.5.99.6) (GlcN6P deaminase) (GNPDA) (Glucosamine-6-phosphate isomerase)
P0A763	ndk b2518 JW2502	Nucleoside diphosphate kinase (NDK) (NDP kinase) (EC 2.7.4.6) (Nucleoside-2-P kinase)
P0A769	mntH yfeP b2392 JW2388	Divalent metal cation transporter MntH
P0A776	rppH nudH ygdP b2830 JW2798	RNA pyrophosphohydrolase (EC 3.6.1.-) ((Di)nucleoside polyphosphate hydrolase) (Ap5A pyrophosphatase)
P0A780	nusB groNB ssyB b0416 JW0406	Transcription antitermination protein NusB (Antitermination factor NusB) (N utilization substance protein B)
P0A784	orn o204a yjeR b4162 JW5740	Oligoribonuclease (EC 3.1.15.-)
P0A786	pyrB b4245 JW4204	Aspartate carbamoyltransferase catalytic subunit (EC 2.1.3.2) (Aspartate transcarbamylase) (ATCase)
P0A790	panD b0131 JW0127	Aspartate 1-decarboxylase (EC 4.1.1.11) (Aspartate alpha-decarboxylase) [Cleaved into: Aspartate 1-decarboxylase beta chain; Aspartate 1-decarboxylase alpha chain]
P0A794	pdxJ b2564 JW2548	Pyridoxine 5'-phosphate synthase (PNP synthase) (EC 2.6.99.2)
P0A796	pfkA b3916 JW3887	ATP-dependent 6-phosphofructokinase isozyme 1 (ATP-PFK 1) (Phosphofructokinase 1) (EC 2.7.1.11) (6-phosphofructokinase isozyme I) (Phosphohexokinase 1) (Sedoheptulose-7-phosphate kinase)
P0A799	pgk b2926 JW2893	Phosphoglycerate kinase (EC 2.7.2.3)
P0A7A7	plsB b4041 JW4001	Glycerol-3-phosphate acyltransferase (GPAT) (EC 2.3.1.15)
P0A7A9	ppa b4226 JW4185	Inorganic pyrophosphatase (EC 3.6.1.1) (Pyrophosphate phospho-hydrolase) (PPase)
P0A7B1	ppk b2501 JW2486	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)
P0A7B3	nadK yfjB yfjE b2615 JW2596	NAD kinase (EC 2.7.1.23) (ATP-dependent NAD kinase)
P0A7B5	proB b0242 JW0232	Glutamate 5-kinase (EC 2.7.2.11) (Gamma-glutamyl kinase) (GK)
P0A7B8	hslV htpO yiiC b3932 JW3903	ATP-dependent protease subunit HslV (EC 3.4.25.2) (Heat shock protein HslV)
P0A7C2	lexA exrA spr tsl umuA b4043 JW4003	LexA repressor (EC 3.4.21.88)
P0A7D4	purA adeK b4177 JW4135	Adenylosuccinate synthetase (AMPSase) (AdSS) (EC 6.3.4.4) (IMP--aspartate ligase)
P0A7E1	pyrD b0945 JW0928	Dihydroorotate dehydrogenase (quinone) (EC 1.3.5.2) (DHOdehase) (DHOD) (DHODase) (Dihydroorotate oxidase)
P0A7E3	pyrE b3642 JW3617	Orotate phosphoribosyltransferase (OPRT) (OPRTase) (EC 2.4.2.10)
P0A7E5	pyrG b2780 JW2751	CTP synthase (EC 6.3.4.2) (Cytidine 5'-triphosphate synthase) (Cytidine triphosphate synthetase) (CTP synthetase) (CTPS) (UTP--ammonia ligase)
P0A7E9	pyrH smbA b0171 JW0166	Uridylate kinase (UK) (EC 2.7.4.22) (Uridine monophosphate kinase) (UMP kinase) (UMPK)
P0A7F6	speD b0120 JW0116	S-adenosylmethionine decarboxylase proenzyme (AdoMetDC) (SAMDC) (EC 4.1.1.50) [Cleaved into: S-adenosylmethionine decarboxylase beta chain; S-adenosylmethionine decarboxylase alpha chain]
P0A7F9	queA b0405 JW0395	S-adenosylmethionine:tRNA ribosyltransferase-isomerase (EC 2.4.99.17) (Queuosine biosynthesis protein QueA)
P0A7G2	rbfA P15B yhbB b3167 JW3136	30S ribosome-binding factor (Protein P15B) (Ribosome-binding factor A) (RbfA)
P0A7G6	recA lexB recH rnmB tif umuB zab b2699 JW2669	Protein RecA (Recombinase A)
P0A7I4	prfC miaD tos b4375 JW5873	Peptide chain release factor RF3 (RF-3)
P0A7I7	ribA b1277 JW1269	GTP cyclohydrolase-2 (EC 3.5.4.25) (GTP cyclohydrolase II)
P0A7J0	ribB htrP b3041 JW3009	3,4-dihydroxy-2-butanone 4-phosphate synthase (DHBP synthase) (DHBPS) (EC 4.1.99.12)
P0A7J3	rplJ b3985 JW3948	50S ribosomal protein L10 (50S ribosomal protein L8) (Large ribosomal subunit protein uL10)
P0A7J7	rplK relC b3983 JW3946	50S ribosomal protein L11 (Large ribosomal subunit protein uL11)
P0A7K2	rplL b3986 JW3949	50S ribosomal protein L7/L12 (L8) (Large ribosomal subunit protein bL12)
P0A7K6	rplS b2606 JW2587	50S ribosomal protein L19 (Large ribosomal subunit protein bL19)
P0A7L0	rplA b3984 JW3947	50S ribosomal protein L1 (Large ribosomal subunit protein uL1)
P0A7L3	rplT pdzA b1716 JW1706	50S ribosomal protein L20 (Large ribosomal subunit protein bL20)
P0A7L8	rpmA b3185 JW3152	50S ribosomal protein L27 (Large ribosomal subunit protein bL27)
P0A7M2	rpmB b3637 JW3612	50S ribosomal protein L28 (Large ribosomal subunit protein bL28)
P0A7M6	rpmC b3312 JW3274	50S ribosomal protein L29 (Large ribosomal subunit protein uL29)
P0A7M9	rpmE b3936 JW3907	50S ribosomal protein L31 (Large ribosomal subunit protein bL31-A)
P0A7N4	rpmF b1089 JW1075	50S ribosomal protein L32 (Large ribosomal subunit protein bL32)
P0A7N9	rpmG b3636 JW3611	50S ribosomal protein L33 (Large ribosomal subunit protein bL33)
P0A7R1	rplI b4203 JW4161	50S ribosomal protein L9 (Large ribosomal subunit protein bL9)
P0A7R5	rpsJ nusE b3321 JW3283	30S ribosomal protein S10 (Small ribosomal subunit protein uS10) (Transcription termination/antitermination protein NusE)
P0A7R9	rpsK b3297 JW3259	30S ribosomal protein S11 (Small ribosomal subunit protein uS11)
P0A7S3	rpsL strA b3342 JW3304	30S ribosomal protein S12 (Small ribosomal subunit protein uS12)
P0A7S9	rpsM b3298 JW3260	30S ribosomal protein S13 (Small ribosomal subunit protein uS13)
P0A7T3	rpsP b2609 JW2590	30S ribosomal protein S16 (Small ribosomal subunit protein bS16)
P0A7T7	rpsR b4202 JW4160	30S ribosomal protein S18 (Small ribosomal subunit protein bS18)
P0A7U3	rpsS b3316 JW3278	30S ribosomal protein S19 (Small ribosomal subunit protein uS19)
P0A7U7	rpsT b0023 JW0022	30S ribosomal protein S20 (Small ribosomal subunit protein bS20)
P0A7V0	rpsB b0169 JW0164	30S ribosomal protein S2 (Small ribosomal subunit protein uS2)
P0A7V3	rpsC b3314 JW3276	30S ribosomal protein S3 (Small ribosomal subunit protein uS3)
P0A7V8	rpsD ramA b3296 JW3258	30S ribosomal protein S4 (Small ribosomal subunit protein uS4)
P0A7W1	rpsE spc b3303 JW3265	30S ribosomal protein S5 (Small ribosomal subunit protein uS5)
P0A7W7	rpsH b3306 JW3268	30S ribosomal protein S8 (Small ribosomal subunit protein uS8)
P0A7X3	rpsI b3230 JW3199	30S ribosomal protein S9 (Small ribosomal subunit protein uS9)
P0A7X6	rimM yfjA b2608 JW5413	Ribosome maturation factor RimM (21K)
P0A7Y0	rnc b2567 JW2551	Ribonuclease 3 (EC 3.1.26.3) (Ribonuclease III) (RNase III)
P0A7Y4	rnhA dasF herA rnh sdrA b0214 JW0204	Ribonuclease HI (RNase HI) (EC 3.1.26.4) (Ribonuclease H) (RNase H)
P0A7Z0	rpiA ygfC b2914 JW5475	Ribose-5-phosphate isomerase A (EC 5.3.1.6) (Phosphoriboisomerase A) (PRI)
P0A7Z4	rpoA pez phs sez b3295 JW3257	DNA-directed RNA polymerase subunit alpha (RNAP subunit alpha) (EC 2.7.7.6) (RNA polymerase subunit alpha) (Transcriptase subunit alpha)
P0A800	rpoZ b3649 JW3624	DNA-directed RNA polymerase subunit omega (RNAP omega subunit) (EC 2.7.7.6) (RNA polymerase omega subunit) (Transcriptase subunit omega)
P0A809	ruvA b1861 JW1850	Holliday junction ATP-dependent DNA helicase RuvA (EC 3.6.4.12)
P0A812	ruvB b1860 JW1849	Holliday junction ATP-dependent DNA helicase RuvB (EC 3.6.4.12)
P0A814	ruvC b1863 JW1852	Crossover junction endodeoxyribonuclease RuvC (EC 3.1.21.10) (Holliday junction nuclease RuvC) (Holliday junction resolvase RuvC)
P0A817	metK metX b2942 JW2909	S-adenosylmethionine synthase (AdoMet synthase) (EC 2.5.1.6) (MAT) (Methionine adenosyltransferase)
P0A821	selA fdhA b3591 JW3564	L-seryl-tRNA(Sec) selenium transferase (EC 2.9.1.1) (Selenocysteine synthase) (Sec synthase) (Selenocysteinyl-tRNA(Sec) synthase)
P0A825	glyA b2551 JW2535	Serine hydroxymethyltransferase (SHMT) (Serine methylase) (EC 2.1.2.1)
P0A830	dctA b3528 JW3496	Aerobic C4-dicarboxylate transport protein
P0A832	smpB smqB b2620 JW2601	SsrA-binding protein (Small protein B)
P0A836	sucC b0728 JW0717	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)
P0A840	surE ygbC b2744 JW2714	5'/3'-nucleotidase SurE (EC 3.1.3.5) (EC 3.1.3.6) (Exopolyphosphatase) (EC 3.6.1.11) (Nucleoside monophosphate phosphohydrolase) (Stationary-phase survival protein SurE)
P0A847	tgt b0406 JW0396	Queuine tRNA-ribosyltransferase (EC 2.4.2.29) (Guanine insertion enzyme) (tRNA-guanine transglycosylase)
P0A850	tig b0436 JW0426	Trigger factor (TF) (EC 5.2.1.8) (PPIase)
P0A853	tnaA ind b3708 JW3686	Tryptophanase (EC 4.1.99.1) (L-tryptophan indole-lyase) (TNase)
P0A855	tolB b0740 JW5100	Tol-Pal system protein TolB
P0A858	tpiA tpi b3919 JW3890	Triosephosphate isomerase (TIM) (TPI) (EC 5.3.1.1) (Triose-phosphate isomerase)
P0A862	tpx yzzJ b1324 JW1317	Thiol peroxidase (Tpx) (EC 1.11.1.24) (Peroxiredoxin tpx) (Prx) (Scavengase p20) (Thioredoxin peroxidase) (Thioredoxin-dependent peroxiredoxin)
P0A870	talB yaaK b0008 JW0007	Transaldolase B (EC 2.2.1.2)
P0A873	trmD b2607 JW2588	tRNA (guanine-N(1)-)-methyltransferase (EC 2.1.1.228) (M1G-methyltransferase) (tRNA [GM37] methyltransferase)
P0A879	trpB b1261 JW1253	Tryptophan synthase beta chain (EC 4.2.1.20)
P0A884	thyA b2827 JW2795	Thymidylate synthase (TS) (TSase) (EC 2.1.1.45)
P0A887	ubiE yigO b3833 JW5581	Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE (EC 2.1.1.163) (EC 2.1.1.201) (2-methoxy-6-polyprenyl-1,4-benzoquinol methylase) (Demethylmenaquinone methyltransferase)
P0A890	tusA sirA yhhP b3470 JW3435	Sulfur carrier protein TusA (Sulfur mediator TusA) (Sulfur transfer protein TusA) (tRNA 2-thiouridine synthesizing protein A)
P0A894	rapZ yhbJ b3205 JW3172	RNase adapter protein RapZ
P0A898	ybeY b0659 JW0656	Endoribonuclease YbeY (EC 3.1.-.-)
P0A8A4	ppsR ydiA b1703 JW1693	Phosphoenolpyruvate synthase regulatory protein (PEP synthase regulatory protein) (PSRP) (EC 2.7.11.33) (EC 2.7.4.28) (Pyruvate, water dikinase regulatory protein)
P0A8D6	ymdB b1045 JW1032	O-acetyl-ADP-ribose deacetylase (EC 3.1.1.106) (Regulator of RNase III activity)
P0A8F0	upp uraP b2498 JW2483	Uracil phosphoribosyltransferase (EC 2.4.2.9) (UMP pyrophosphorylase) (UPRTase)
P0A8F8	uvrB b0779 JW0762	UvrABC system protein B (Protein UvrB) (Excinuclease ABC subunit B)
P0A8G0	uvrC b1913 JW1898	UvrABC system protein C (Protein UvrC) (Excinuclease ABC subunit C)
P0A8G6	wrbA b1004 JW0989	NAD(P)H dehydrogenase (quinone) (EC 1.6.5.2) (Flavoprotein WrbA) (NAD(P)H:quinone oxidoreductase) (NQO)
