	protein	gene
YP_004888429.1	Bacteriocin peptide PlnJ	plnJ lp_0406
YP_004888430.1	Bacteriocin immunity protein PlnM	plnM lp_0409
YP_004888431.1	Bacteriocin peptide PlnN	plnN lp_0410
YP_004888432.1	Plantaricin biosynthesis protein PlnO	plnO lp_0411
YP_004888433.1	Bacteriocin immunity protein PlnP,membrane-bound protease CAAX family	plnP lp_0412
YP_004888435.1	Plantaricin biosynthesis protein PlnQ	plnQ lp_0413
YP_004888436.1	Bacteriocin plantaricin-A	plnA lp_0415
YP_004888437.1	Two-componet system histidine protein kinase PlnB sensor protein (EC 2.7.3.-)	plnB lp_0416
YP_004888438.1	Two-component response regulator PlnC,activator	plnC lp_0417
YP_004888439.1	Two-component response regulator PlnD,repressor	plnD lp_0418
YP_004888440.1	Bacteriocin immunity protein PlnI,membrane-bound protease CAAX family	plnI lp_0419
YP_004888441.1	Bacteriocin peptide PlnF	plnF lp_0421
YP_004888442.1	Bacteriocin peptide PlnE	plnE lp_0422
YP_004888443.1	Bacteriocin ABC-transporter, ATP-binding and permease protein PlnG	plnG lp_0423
YP_004888444.1	Bacteriocin ABC transporter, accessory factor PlnH	plnH lp_0424
YP_004888447.1	Hypothetical membrane protein PlnU,membrane-bound protease CAAX family	plnU lp_0426
YP_004888448.1	Hypothetical membrane protein plnV,membrane-bound protease CAAX family	plnV lp_0428
YP_004888449.1	Hypothetical membrane protein PlnW,membrane-bound protease CAAX family	plnW lp_0429
YP_004888450.1	NA	NA
YP_004888451.1	Toxin-antitoxin system, antitoxin, HigA family	axe lp_0431
YP_004888452.1	DNA helicase (EC 3.6.4.12)	lp_0432
YP_004888453.1	Carbon-nitrogen hydrolase family protein	lp_0433
YP_004888454.1	Tryptophan--tRNA ligase (EC 6.1.1.2)	trpS lp_0434
YP_004888455.1	Transcription regulator, GntR family	lp_0435
YP_004888456.1	Permease IIC component	pts7C lp_0436
YP_004888457.1	DUF3284 domain-containing protein	lp_0438
YP_004888458.1	Permease IIC component	pts8C lp_0439
YP_004888459.1	6-phospho-beta-glucosidase (EC 3.2.1.86)	pbg1 lp_0440
YP_004888460.1	Bifunctional protein: transcription regulator sugar kinase, ROK family (EC 2.7.1.-)	lp_0441
YP_004888461.1	Transcription regulator, RpiR family	lp_0442
YP_004888462.1	tRNA-dihydrouridine synthase (EC 1.3.1.-)	dus1 lp_0443
YP_004888463.1	Replication protein	lp_0444
YP_004888464.1	Nucleotidyl transferase AbiEii/AbiGii toxin family protein	lp_0445
YP_004888465.1	Exopolyphosphatase (EC 3.6.1.11)	ppx1 lp_0446
YP_004888466.1	3-hydroxy-3-methylglutaryl coenzyme A reductase (HMG-CoA reductase) (EC 1.1.1.88)	mvaA lp_0447
YP_004888467.1	IpaB/EvcA family protein	lp_0448
YP_004888468.1	NAD-dependent protein deacetylase (EC 2.3.1.286) (Regulatory protein SIR2 homolog)	cobB lp_0449
YP_004888469.1	DUF72 domain-containing protein	lp_0450
YP_004888470.1	Phosphohydrolase, MutT/nudix family	lp_0452
YP_004888471.1	Methionine--tRNA ligase (EC 6.1.1.10) (Methionyl-tRNA synthetase) (MetRS)	metG metS lp_0454
YP_004888472.1	Bcr/CflA family efflux transporter	lp_0455
YP_004888473.1	DNase, TatD family (EC 3.1.-.-)	lp_0456
YP_004888474.1	Ribonuclease M5 (EC 3.1.26.8) (RNase M5) (Ribosomal RNA terminal maturase M5)	rnmV lp_0457
YP_004888475.1	Ribosomal RNA small subunit methyltransferase A (EC 2.1.1.182) (16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase) (16S rRNA dimethyladenosine transferase) (16S rRNA dimethylase) (S-adenosylmethionine-6-N', N'-adenosyl(rRNA) dimethyltransferase)	rsmA ksgA lp_0458
YP_004888476.1	Veg protein	lp_0459
YP_004888477.1	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase (CMK) (EC 2.7.1.148) (4-(cytidine-5'-diphospho)-2-C-methyl-D-erythritol kinase)	ispE lp_0460
YP_004888478.1	Cell surface hydrolase, membrane-bound	lp_0461
YP_004888479.1	Zinc/iron ABC transporter, ATP-binding protein	znuC lp_0463
YP_004888480.1	Zinc/iron ABC transporter, permease protein	znuB lp_0464
YP_004888481.1	Pur operon repressor	purR lp_0466
YP_004888482.1	Bifunctional protein GlmU [Includes: UDP-N-acetylglucosamine pyrophosphorylase (EC 2.7.7.23) (N-acetylglucosamine-1-phosphate uridyltransferase); Glucosamine-1-phosphate N-acetyltransferase (EC 2.3.1.157)]	glmU lp_0467
YP_004888483.1	Beta-lactamase (EC 3.5.2.6)	bla1 lp_0469
YP_004888484.1	Ribose-phosphate pyrophosphokinase 1 (RPPK 1) (EC 2.7.6.1) (5-phospho-D-ribosyl alpha-1-diphosphate 1) (Phosphoribosyl diphosphate synthase 1) (Phosphoribosyl pyrophosphate synthase 1) (P-Rib-PP synthase 1) (PRPP synthase 1) (PRPPase 1)	prs1 lp_0471
YP_004888485.1	Hypothetical membrane protein, DUF218 family	lp_0472
YP_004888486.1	Lipoprotein	lp_0473
YP_004888487.1	Hydrolase, HAD superfamily, Cof family	lp_0475
YP_004888488.1	Metal-dependent phosphohydrolase, HD family	lp_0476
YP_004888489.1	Lipoate-protein ligase A	lp_0477
YP_004888490.1	DUF1934 domain-containing protein	lp_0479
YP_004888491.1	Probable DNA-directed RNA polymerase subunit delta (RNAP delta factor)	rpoE lp_0480
YP_004888492.1	CTP synthase (EC 6.3.4.2) (Cytidine 5'-triphosphate synthase) (Cytidine triphosphate synthetase) (CTP synthetase) (CTPS) (UTP--ammonia ligase)	pyrG lp_0481
YP_004888493.1	Transcriptional activator, Rgg/GadR/MutR family	lp_0482
YP_004888494.1	Lysine biosynthesis protein LysW	lp_0483
YP_004888495.1	ATP-dependent carboxylate-amine/thiol ligase family protein	lp_0484
YP_004888496.1	SAM-dependent methyltransferase	lp_0485
YP_004888497.1	Pyridoxal-phosphate-dependent aminotransferase	lp_0486
YP_004888498.1	N-acetyl-gamma-glutamyl-phosphate reductase 1 (AGPR 1) (EC 1.2.1.38) (N-acetyl-glutamate semialdehyde dehydrogenase 1) (NAGSA dehydrogenase 1)	argC1 lp_0487
YP_004888499.1	Bifunctional protein: acetyl-glutamate kinase acetyl-ornithine deacetylase (EC 2.7.2.8, EC 3.5.1.16)	lp_0488
YP_004888500.1	Transketolase, thiamine diphosphate binding domain (EC 2.2.1.1)	tkt1A lp_0489
YP_004888501.1	NADPH-dependent FMN reductase	lp_0490
YP_004888502.1	Transketolase, pyrimidine-binding domain (EC 2.2.1.1)	tkt1B lp_0491
YP_004888503.1	Transport protein, major facilitator superfamily (MFS)	lp_0492
YP_004888504.1	ATP-grasp domain-containing protein	lp_0493
YP_004888505.1	Deoxyribonucleoside regulator, putative inducer deoxyribose 5-P	deoR lp_0495
YP_004888506.1	Deoxyribose-phosphate aldolase (DERA) (EC 4.1.2.4) (2-deoxy-D-ribose 5-phosphate aldolase) (Phosphodeoxyriboaldolase) (Deoxyriboaldolase)	deoC lp_0497
YP_004888507.1	Deoxyribose transporter	deoP lp_0498
YP_004888508.1	Deoxyribose mutarotase (EC 5.3.1.-)	deoM lp_0499
YP_004888509.1	Ribokinase (RK) (EC 2.7.1.15)	deoK rbsK lp_0500
YP_004888510.1	Serine--tRNA ligase 1 (EC 6.1.1.11) (Seryl-tRNA synthetase 1) (SerRS 1) (Seryl-tRNA(Ser/Sec) synthetase 1)	serS1 lp_0501
YP_004888511.1	Serine transporter	sdaC lp_0502
YP_004888512.1	L-serine dehydratase (EC 4.3.1.17)	sdhB lp_0505
YP_004888513.1	L-serine dehydratase (EC 4.3.1.17)	sdhA lp_0506
YP_004888514.1	Transcriptional regulator	lp_0507
YP_004888515.1	Fur-regulated basic protein FbpA	lp_0509
YP_004888516.1	UDP-N-acetylglucosamine 1-carboxyvinyltransferase 2 (EC 2.5.1.7) (Enoylpyruvate transferase 2) (UDP-N-acetylglucosamine enolpyruvyl transferase 2) (EPT 2)	murA2 lp_0510
YP_004888517.1	Transcription termination factor Rho (EC 3.6.4.-) (ATP-dependent helicase Rho)	rho lp_0511
YP_004888518.1	50S ribosomal protein L31 type B	rpmE2 lp_0512
YP_004888519.1	DUF3945 domain-containing protein	lp_0513
YP_004888520.1	Sortase A	srtA lp_0514
YP_004888521.1	LemA family protein	lp_0515
YP_004888522.1	Protease HtpX homolog (EC 3.4.24.-)	htpX lp_0516
YP_004888523.1	Conserved domain protein	lp_0517
YP_004888524.1	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase (EC 6.3.2.10) (D-alanyl-D-alanine-adding enzyme)	murF lp_0518
YP_004888525.1	DEAD-box ATP-dependent RNA helicase CshA (EC 3.6.4.13)	rhe1 cshA lp_0520
YP_004888526.1	Holo-[acyl-carrier-protein] synthase (Holo-ACP synthase) (EC 2.7.8.7) (4'-phosphopantetheinyl transferase AcpS)	acpS lp_0522
YP_004888527.1	Alanine racemase (EC 5.1.1.1)	alr lp_0523
YP_004888528.1	mRNA interferase (EC 3.1.-.-)	lp_0524
YP_004888529.1	Probable potassium transport system protein kup 1	kup1 lp_0525
YP_004888530.1	Carbamoyl-phosphate synthase arginine-specific large chain (EC 6.3.5.5) (Carbamoyl-phosphate synthetase ammonia chain)	carB lp_0526
YP_004888531.1	Carbamoyl-phosphate synthase arginine-specific small chain (EC 6.3.5.5) (Carbamoyl-phosphate synthetase glutamine chain) (CPS-A)	carA lp_0527
YP_004888532.1	N-acetyl-gamma-glutamyl-phosphate reductase 2 (AGPR 2) (EC 1.2.1.38) (N-acetyl-glutamate semialdehyde dehydrogenase 2) (NAGSA dehydrogenase 2)	argC2 argC lp_0528
YP_004888533.1	Arginine biosynthesis bifunctional protein ArgJ [Cleaved into: Arginine biosynthesis bifunctional protein ArgJ alpha chain; Arginine biosynthesis bifunctional protein ArgJ beta chain] [Includes: Glutamate N-acetyltransferase (EC 2.3.1.35) (Ornithine acetyltransferase) (OATase) (Ornithine transacetylase); Amino-acid acetyltransferase (EC 2.3.1.1) (N-acetylglutamate synthase) (AGSase)]	argJ lp_0529
YP_004888534.1	Acetylglutamate kinase (EC 2.7.2.8) (N-acetyl-L-glutamate 5-phosphotransferase) (NAG kinase) (NAGK)	argB lp_0530
YP_004888535.1	Acetylornithine aminotransferase (ACOAT) (EC 2.6.1.11)	argD lp_0531
YP_004888536.1	Ornithine carbamoyltransferase (OTCase) (EC 2.1.3.3)	argF lp_0532
YP_004888537.1	Transport protein, QueT family	lp_0533
YP_004888538.1	CBS domain-containing protein	lp_0535
YP_004888539.1	Cell surface protein, ErfK/YbiS/YcfS/YnhG family	lp_0536
YP_004888540.1	L-lactate dehydrogenase 1 (L-LDH 1) (EC 1.1.1.27)	ldh1 l-ldhL ldh ldhL ldhL1 lp_0537
YP_004888541.1	Peptidyl-tRNA hydrolase (PTH) (EC 3.1.1.29)	pth lp_0538
YP_004888542.1	Transcription-repair-coupling factor (TRCF) (EC 3.6.4.-)	mfd lp_0539
YP_004888543.1	Polysaccharide transporter	lp_0540
YP_004888544.1	Ribosome-associated heat shock protein	lp_0541
YP_004888545.1	Septum formation initiator	divIC lp_0542
YP_004888546.1	RNA binding protein, contains ribosomal protein S1 domain	lp_0543
YP_004888547.1	tRNA(Ile)-lysidine synthase (EC 6.3.4.19) (tRNA(Ile)-2-lysyl-cytidine synthase) (tRNA(Ile)-lysidine synthetase)	tilS lp_0545
YP_004888548.1	Hypoxanthine phosphoribosyltransferase (EC 2.4.2.8)	hprT lp_0546
YP_004888549.1	ATP-dependent zinc metalloprotease FtsH (EC 3.4.24.-)	ftsH lp_0547
YP_004888550.1	33 kDa chaperonin (Heat shock protein 33 homolog) (HSP33)	hslO lp_0548
YP_004888551.1	tRNA-dihydrouridine synthase (EC 1.3.1.-)	dus2 lp_0549
YP_004888552.1	Lysine--tRNA ligase (EC 6.1.1.6) (Lysyl-tRNA synthetase) (LysRS)	lysS lp_0550
YP_004888553.1	Di-/tripeptide transport protein	dtpT lp_0551
YP_004888554.1	Phosphoesterase	lp_0552
YP_004888555.1	Transposase	lp_0554
YP_004888556.1	Cupin_2 domain-containing protein	lp_0555
YP_004888557.1	Cupin_2 domain-containing protein	lp_0556
YP_004888558.1	Serine/threonine protein phosphatase (EC 3.1.3.16)	lp_0557
YP_004888559.1	Di-and tricarboxylate transporter	lp_0558
YP_004888560.1	Ribosyl nicotinamide transporter, PnuC-like	pnuC2 lp_0559
YP_004888561.1	Pyrroline-5-carboxylate reductase (P5C reductase) (P5CR) (EC 1.5.1.2) (PCA reductase)	proC lp_0561
YP_004888562.1	N-acetylglucosamine-6-phosphate deacetylase (EC 3.5.1.25)	nagA lp_0562
YP_004888563.1	Transcription regulator, GntR family	lp_0563
YP_004888564.1	N-acetylglucosaminyldiphosphoundecaprenol N-acetyl-beta-D-mannosaminyltransferase (EC 2.4.1.187) (N-acetylmannosaminyltransferase) (UDP-N-acetylmannosamine transferase) (UDP-N-acetylmannosamine:N-acetylglucosaminyl pyrophosphorylundecaprenol N-acetylmannosaminyltransferase)	tagA lp_0564
YP_004888565.1	Nicotinate phosphoribosyltransferase (EC 6.3.4.21)	nadC1 lp_0565
YP_004888566.1	NH(3)-dependent NAD(+) synthetase (EC 6.3.1.5)	nadE lp_0566
YP_004888567.1	Cation transporting P-type ATPase (EC 3.6.3.-)	pacL2 lp_0567
YP_004888568.1	PhaC_N domain-containing protein	lp_0568
YP_004888569.1	Transcription accessory protein, contains S1 RNA binding domain	tex lp_0569
YP_004888570.1	Protein SprT-like	lp_0570
YP_004888571.1	Homoserine dehydrogenase (EC 1.1.1.3)	hom2 lp_0571
YP_004888572.1	Homoserine kinase (HK) (HSK) (EC 2.7.1.39)	thrB lp_0572
YP_004888573.1	Extracellular protein	lp_0574
YP_004888574.1	PTS system mannose-specific EIIAB component (EC 2.7.1.191) (EIIAB-Man) (EIII-Man)	pts9AB lp_0575
YP_004888575.1	PTS system, mannose-specific EIIC component (EC 2.7.1.69)	pts9C lp_0576
YP_004888576.1	PTS system, mannose-specific EIID component (EC 2.7.1.69)	pts9D lp_0577
YP_004888577.1	Non-ribosomal peptide synthetase NpsA	npsA lp_0578
YP_004888578.1	Aspartate 1-decarboxylase (EC 4.1.1.11) (Aspartate alpha-decarboxylase) [Cleaved into: Aspartate 1-decarboxylase beta chain; Aspartate 1-decarboxylase alpha chain]	panD lp_0579
YP_004888579.1	Bis(5'-nucleosyl)-tetraphosphatase (symmetrical) (EC 3.6.1.41)	lp_0580
YP_004888580.1	Non-ribosomal peptide synthetase NpsB	npsB lp_0581
YP_004888581.1	4'-phosphopantetheinyl transferase (EC 2.7.8.7)	npsC lp_0582
YP_004888582.1	DUF956 family protein	lp_0583
YP_004888583.1	Transport protein, major facilitator superfamily (MFS)	lp_0584
YP_004888584.1	Sigma54 activator, mannose PTS operon regulator	manR lp_0585
YP_004888585.1	PTS system, mannose-specific EIIAcomponent (EC 2.7.1.69)	pts10A lp_0586
YP_004888586.1	PTS system, mannose-specific EIIB component (EC 2.7.1.69)	pts10B lp_0587
YP_004888587.1	Beta-ketoacyl-[acyl-carrier-protein] synthase III 1 (Beta-ketoacyl-ACP synthase III 1) (KAS III 1) (EC 2.3.1.180) (3-oxoacyl-[acyl-carrier-protein] synthase 3 1) (3-oxoacyl-[acyl-carrier-protein] synthase III 1)	fabH1 lp_0588
YP_004888588.1	Acetyl-CoA carboxylase, biotin carboxyl carrier protein (EC 6.4.1.2)	accB1 lp_0589
YP_004888589.1	Acetyl-CoA carboxylase, biotin carboxylase subunit (EC 6.4.1.2)	accC1 lp_0590
YP_004888590.1	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta 1 (ACCase subunit beta 1) (Acetyl-CoA carboxylase carboxyltransferase subunit beta 1) (EC 2.1.3.15)	accD1 lp_0591
YP_004888591.1	Acetyl-CoA carboxytransferase (EC 2.1.3.15)	accA1 lp_0592
YP_004888592.1	Transcriptional attenuator, cell envelope-related, LytR family	lp_0593
YP_004888593.1	Malate transport protein	mleP1 lp_0594
YP_004888594.1	Permease, drug/metabolite transporter (DMT) superfamily	lp_0595
YP_004888595.1	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase 1 (BPG-dependent PGAM 1) (PGAM 1) (Phosphoglyceromutase 1) (dPGM 1) (EC 5.4.2.11)	gpmA1 pgm2 lp_0597
YP_004888596.1	Extracellular zinc metalloproteinase, M10 family (EC 3.4.24.-)	zmp2 lp_0600
YP_004888597.1	Aminopeptidase	pepC1 lp_0601
YP_004888598.1	Ribose-5-phosphate isomerase A (EC 5.3.1.6) (Phosphoriboisomerase A) (PRI)	rpiA rpiA1 lp_0602
YP_004888599.1	Acetyltransferase, GNAT family	lp_0603
YP_004888600.1	Deoxyuridine 5'-triphosphate nucleotidohydrolase (EC 3.6.1.23)	dut lp_0604
YP_004888601.1	DNA repair protein RadA	radA lp_0606
YP_004888602.1	ATPase, PilT family	lp_0607
YP_004888603.1	Glutamate--tRNA ligase (EC 6.1.1.17) (Glutamyl-tRNA synthetase) (GluRS)	gltX lp_0609
YP_004888604.1	Cysteine--tRNA ligase (EC 6.1.1.16) (Cysteinyl-tRNA synthetase) (CysRS)	cysS lp_0610
YP_004888605.1	Mini-ribonuclease 3 (Mini-3) (Mini-RNase 3) (EC 3.1.26.-) (Mini-RNase III) (Mini-III)	mrnC lp_0611
YP_004888606.1	tRNA/rRNA methyltransferase, TrmH family (EC 2.1.1.-)	trmH lp_0612
YP_004888607.1	Nuclease, NYN_YacP family	lp_0613
YP_004888608.1	DNA-directed RNA polymerase, sigma-H factor	sigH lp_0614
YP_004888609.1	50S ribosomal protein L33	rpmG lp_0615
YP_004888610.1	Protein translocase subunit SecE	secE lp_0616
YP_004888611.1	Transcription termination/antitermination protein NusG	nusG lp_0617
YP_004888612.1	Cell surface hydrolase, membrane-bound, DUF915 family	lp_0618
YP_004888613.1	50S ribosomal protein L11	rplK lp_0619
YP_004888614.1	50S ribosomal protein L1	rplA lp_0620
YP_004888615.1	50S ribosomal protein L10	rplJ lp_0621
YP_004888616.1	50S ribosomal protein L7/L12	rplL lp_0622
YP_004888617.1	Prophage P1 protein 1, integrase	lp_0624
YP_004888618.1	Prophage P1 protein 2, mitogenic factor, cell surface lipoprotein	lp_0625
YP_004888619.1	Prophage P1 protein 4	lp_0627
YP_004888620.1	Prophage P1 protein 5, superinfection exclusion (Cell surface N-anchored)	lp_0628
YP_004888621.1	Prophage P1 protein 6	lp_0629
YP_004888622.1	Prophage P1 protein 7	lp_0630
YP_004888623.1	Prophage P1 protein 8, phage transcription regulator, Cro/CI family	lp_0631
YP_004888624.1	Prophage P1 protein 9, phage transcription regulator, Cro/CI family	lp_0632
YP_004888625.1	Prophage P1 protein 10	lp_0633
YP_004888626.1	Prophage P1 protein 11, phage transcription regulator	lp_0634
YP_004888627.1	Prophage P1 protein 12, phage transcription regulator	lp_0635
YP_004888628.1	Prophage P1 protein 13	lp_0636
YP_004888629.1	Prophage P1 protein 14	lp_0637
YP_004888630.1	Prophage P1 protein 15	lp_0638
YP_004888631.1	Prophage P1 protein 16	lp_0639
YP_004888632.1	Prophage P1 protein 17	lp_0640
YP_004888633.1	Prophage P1 protein 18, DNA single-strand annealing protein RecT	lp_0641
YP_004888634.1	Prophage P1 protein 19	lp_0642
YP_004888635.1	Prophage P1 protein 20	lp_0643
YP_004888636.1	Prophage P1 protein 21	lp_0644
YP_004888637.1	Prophage P1 protein 22 (Prophage P2a protein 22)	lp_0645 lp_2435
YP_004888638.1	Prophage P1 protein 23	lp_0646
YP_004888639.1	Prophage P1 protein 24, holliday junction resolvase	lp_0647
YP_004888640.1	Prophage P1 protein 25	lp_0648
YP_004888641.1	Prophage P1 protein 26	lp_0649
YP_004888642.1	Prophage P1 protein 27	lp_0650
YP_004888643.1	Prophage P1 protein 28	lp_0651
YP_004888644.1	Prophage P1 protein 29	lp_0652
YP_004888645.1	Prophage P1 protein 30	lp_0653
YP_004888646.1	Prophage P1 protein 31	lp_0654
YP_004888647.1	Prophage P1 protein 32	lp_0655
YP_004888648.1	Prophage P1 protein 33, phage transcription regulator, ArpU family	lp_0656
YP_004888649.1	Prophage P1 protein 35	lp_0658
YP_004888650.1	Prophage P1 protein 36	lp_0659
YP_004888651.1	Prophage P1 protein 37, terminase small subunit TerS	lp_0660
YP_004888652.1	Prophage P1 protein 38, terminase large subunit TerL	lp_0661
YP_004888653.1	Prophage P1 protein 39, portal protein	lp_0662
YP_004888654.1	Prophage P1 protein 40, minor head protein	lp_0663
YP_004888655.1	Prophage P1 protein 41, scaffold protein	lp_0664
YP_004888656.1	Prophage P1 protein 42, major capsid protein	lp_0665
YP_004888657.1	Prophage P1 protein 43	lp_0666
YP_004888658.1	Prophage P1 protein 44	lp_0667
YP_004888659.1	Prophage P1 protein 45, head-tail joining protein	lp_0668
YP_004888660.1	Prophage P1 protein 46	lp_0669
YP_004888661.1	Prophage P1 protein 47, major tail protein 2 family	lp_0670
YP_004888662.1	Prophage P1 protein 48	lp_0671
YP_004888663.1	Prophage P1 protein 49	lp_0672
YP_004888664.1	Prophage P1 protein 50, tape measure protein	lp_0673
YP_004888665.1	Prophage P1 protein 51	lp_0674
YP_004888666.1	Prophage P1 protein 52, endolysin	lp_0675
YP_004888667.1	Prophage P1 protein 53, GDSL-like lipase/acylhydrolase family	lp_0676
YP_004888668.1	Prophage P1 protein 54, minor head protein	lp_0677
YP_004888669.1	Prophage P1 protein 55	lp_0678
